"A","B","D","group_id","cardinality","synteny","group","chrs","origin","hit_A","hit_B","hit_D","from","n_hits","direction"
"TraesCS1A03G0185800","TraesCS1B03G0253000","TraesCS1D03G0179900",310,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0186000","TraesCS1B03G0252800","TraesCS1D03G0180100",311,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0188200","TraesCS1B03G0255400","TraesCS1D03G0182800",315,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0189700","TraesCS1B03G0256900","TraesCS1D03G0183800",317,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0189800","TraesCS1B03G0257000","TraesCS1D03G0183900",318,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0190000","TraesCS1B03G0257100","TraesCS1D03G0184100",319,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS1A03G0192800","TraesCS1B03G0258800","TraesCS1D03G0185400",325,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0193600","TraesCS1B03G0259900","TraesCS1D03G0185600",327,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0193900","TraesCS1B03G0262700","TraesCS1D03G0186200",330,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0195700","TraesCS1B03G0264600","TraesCS1D03G0188800",337,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0197100","TraesCS1B03G0265200","TraesCS1D03G0189200",338,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0197600","TraesCS1B03G0265800","TraesCS1D03G0189600",339,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS1A03G0200400","TraesCS1B03G0267900","TraesCS1D03G0191500",343,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0200900","TraesCS1B03G0269600","TraesCS1D03G0192300",346,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0202600","TraesCS1B03G0270900","TraesCS1D03G0195100",350,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0202700","TraesCS1B03G0271000","TraesCS1D03G0195300",351,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0202800","TraesCS1B03G0271700","TraesCS1D03G0195400",352,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0204800","TraesCS1B03G0273400","TraesCS1D03G0196800",355,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0204900","TraesCS1B03G0273800","TraesCS1D03G0197000",356,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0205300","TraesCS1B03G0274000","TraesCS1D03G0198700",357,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0207500","TraesCS1B03G0275400","TraesCS1D03G0200300",362,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0207600","TraesCS1B03G0275700","TraesCS1D03G0200400",363,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0209800","TraesCS1B03G0280400","TraesCS1D03G0203000",366,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0209900","TraesCS1B03G0280500","TraesCS1D03G0203400",367,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0210300","TraesCS1B03G0281600","TraesCS1D03G0203800",369,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0210400","TraesCS1B03G0282900","TraesCS1D03G0203900",370,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0210600","TraesCS1B03G0283000","TraesCS1D03G0204200",371,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0210700","TraesCS1B03G0283100","TraesCS1D03G0204300",372,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0211100","TraesCS1B03G0284900","TraesCS1D03G0204800",374,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0213300","TraesCS1B03G0288200","TraesCS1D03G0206700",376,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0213700","TraesCS1B03G0288400","TraesCS1D03G0207300",377,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0214000","TraesCS1B03G0288600","TraesCS1D03G0207500",378,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0214200","TraesCS1B03G0288700","TraesCS1D03G0207600",379,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0263600","TraesCS1B03G0291000","TraesCS1D03G0210600",386,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0264500","TraesCS1B03G0291900","TraesCS1D03G0212200",387,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0264900","TraesCS1B03G0292300","TraesCS1D03G0212600",390,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0244400","TraesCS1B03G0298000","TraesCS1D03G0215900",395,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0247100","TraesCS1B03G0304000","TraesCS1D03G0218200",403,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0247700","TraesCS1B03G0304900","TraesCS1D03G0218700",406,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0248900","TraesCS1B03G0306100","TraesCS1D03G0220100",407,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0249000","TraesCS1B03G0306500","TraesCS1D03G0221100",408,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0217900","TraesCS1B03G0321100","TraesCS1D03G0231000",424,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0218100","TraesCS1B03G0321200","TraesCS1D03G0231100",425,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0218200","TraesCS1B03G0321300","TraesCS1D03G0231200",426,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0218400","TraesCS1B03G0321600","TraesCS1D03G0231800",427,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0218600","TraesCS1B03G0322100","TraesCS1D03G0232000",428,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0219300","TraesCS1B03G0322700","TraesCS1D03G0233100",429,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0220900","TraesCS1B03G0323800","TraesCS1D03G0234200",431,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0221000","TraesCS1B03G0324000","TraesCS1D03G0234400",432,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0221400","TraesCS1B03G0324200","TraesCS1D03G0234600",433,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0221900","TraesCS1B03G0324300","TraesCS1D03G0234800",434,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0224100","TraesCS1B03G0326400","TraesCS1D03G0237300",438,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0224700","TraesCS1B03G0326800","TraesCS1D03G0237700",440,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0225800","TraesCS1B03G0331400","TraesCS1D03G0239900",443,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0227200","TraesCS1B03G0332400","TraesCS1D03G0241800",445,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0227400","TraesCS1B03G0332600","TraesCS1D03G0241900",446,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS1A03G0230500","TraesCS1B03G0335700","TraesCS1D03G0246500",455,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0231200","TraesCS1B03G0346300","TraesCS1D03G0247800",457,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0231700","TraesCS1B03G0346200","TraesCS1D03G0247900",458,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0232100","TraesCS1B03G0345800","TraesCS1D03G0249100",460,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0232200","TraesCS1B03G0345700","TraesCS1D03G0249200",461,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS1A03G0232800","TraesCS1B03G0345200","TraesCS1D03G0250200",465,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0232900","TraesCS1B03G0345000","TraesCS1D03G0250400",466,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0233400","TraesCS1B03G0344600","TraesCS1D03G0250800",468,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0233600","TraesCS1B03G0344400","TraesCS1D03G0251000",470,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0233900","TraesCS1B03G0344200","TraesCS1D03G0251200",472,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0234400","TraesCS1B03G0344000","TraesCS1D03G0251300",473,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0235000","TraesCS1B03G0343800","TraesCS1D03G0251500",475,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0241000","TraesCS1B03G0341500","TraesCS1D03G0252700",478,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0241600","TraesCS1B03G0340700","TraesCS1D03G0252900",479,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0242100","TraesCS1B03G0340400","TraesCS1D03G0253200",481,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0259500","TraesCS1B03G0339100","TraesCS1D03G0253400",482,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0258300","TraesCS1B03G0337900","TraesCS1D03G0255400",487,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0257700","TraesCS1B03G0336900","TraesCS1D03G0256100",490,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0257200","TraesCS1B03G0336700","TraesCS1D03G0256700",492,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0256600","TraesCS1B03G0347500","TraesCS1D03G0257000",493,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
