"CS_reference" "Paragon_reference" "Category"
"TraesCS1A03G0471300" "TraesPARA_EIv1.0_0057440" "Ambiguous"
"TraesCS1A03G0648400" "TraesPARA_EIv1.0_0041490" "Conserved"
"TraesCS1A03G0651100" "TraesPARA_EIv1.0_0041210" "Conserved"
"TraesCS1A03G0653600" "TraesPARA_EIv1.0_0040920" "Ambiguous"
"TraesCS1A03G0660000" "TraesPARA_EIv1.0_0040380" "Ambiguous"
"TraesCS1A03G0472600" "TraesPARA_EIv1.0_0057330" "Ambiguous"
"TraesCS1A03G0664300" "TraesPARA_EIv1.0_0039910" "Ambiguous"
"TraesCS1A03G0669400" "TraesPARA_EIv1.0_0039430" "Ambiguous"
"TraesCS1A03G0674400" "TraesPARA_EIv1.0_0038920" "Ambiguous"
"TraesCS1A03G0676100" "TraesPARA_EIv1.0_0038720" "Conserved"
"TraesCS1A03G0676500" "TraesPARA_EIv1.0_0038690" "Ambiguous"
"TraesCS1A03G0677300" "TraesPARA_EIv1.0_0038630" "Conserved"
"TraesCS1A03G0682500" "TraesPARA_EIv1.0_0038130" "Conserved"
"TraesCS1A03G0685100" "TraesPARA_EIv1.0_0037950" "Ambiguous"
"TraesCS1A03G0697900" "TraesPARA_EIv1.0_0036780" "Ambiguous"
"TraesCS1A03G0699700" "TraesPARA_EIv1.0_0036620" "Conserved"
"TraesCS1A03G0702200" "TraesPARA_EIv1.0_0036400" "Conserved"
"TraesCS1A03G0703100" "TraesPARA_EIv1.0_0036320" "Ambiguous"
"TraesCS1A03G0703600" "TraesPARA_EIv1.0_0036270" "Conserved"
"TraesCS1A03G0716700" "TraesPARA_EIv1.0_0035180" "Ambiguous"
"TraesCS1A03G0718400" "TraesPARA_EIv1.0_0035010" "Conserved"
"TraesCS1A03G0731000" "TraesPARA_EIv1.0_0033720" "Ambiguous"
"TraesCS1A03G0740800" "TraesPARA_EIv1.0_0032730" "Ambiguous"
"TraesCS1A03G0741900" "TraesPARA_EIv1.0_0032630" "Ambiguous"
"TraesCS1A03G0742600" "TraesPARA_EIv1.0_0032560" "Conserved"
"TraesCS1A03G0745300" "TraesPARA_EIv1.0_0032350" "Ambiguous"
"TraesCS1A03G0747900" "TraesPARA_EIv1.0_0032110" "Conserved"
"TraesCS1A03G0754600" "TraesPARA_EIv1.0_0031560" "Conserved"
"TraesCS1A03G0756400" "TraesPARA_EIv1.0_0031340" "Ambiguous"
"TraesCS1A03G0771900" "TraesPARA_EIv1.0_0030180" "Ambiguous"
"TraesCS1A03G0772000" "TraesPARA_EIv1.0_0030170" "Conserved"
"TraesCS1A03G0774200" "TraesPARA_EIv1.0_0030040" "Conserved"
"TraesCS1A03G0790900" "TraesPARA_EIv1.0_0028190" "Ambiguous"
"TraesCS1A03G0791800" "TraesPARA_EIv1.0_0028080" "Conserved"
"TraesCS1A03G0799600" "TraesPARA_EIv1.0_0027300" "Ambiguous"
"TraesCS1A03G0478900" "TraesPARA_EIv1.0_0056760" "Conserved"
"TraesCS1A03G0821600" "TraesPARA_EIv1.0_0025220" "Ambiguous"
"TraesCS1A03G0823300" "TraesPARA_EIv1.0_0025030" "Ambiguous"
"TraesCS1A03G0823600" "TraesPARA_EIv1.0_0025000" "Ambiguous"
"TraesCS1A03G0824000" "TraesPARA_EIv1.0_0024970" "Conserved"
"TraesCS1A03G0824700" "TraesPARA_EIv1.0_0024900" "Ambiguous"
"TraesCS1A03G0830600" "TraesPARA_EIv1.0_0024200" "Conserved"
"TraesCS1A03G0836200" "TraesPARA_EIv1.0_0023670" "Ambiguous"
"TraesCS1A03G0480300" "TraesPARA_EIv1.0_0056630" "Conserved"
"TraesCS1A03G0839100" "TraesPARA_EIv1.0_0023360" "Ambiguous"
"TraesCS1A03G0839500" "TraesPARA_EIv1.0_0023330" "Conserved"
"TraesCS1A03G0852200" "TraesPARA_EIv1.0_0022080" "Trans only"
"TraesCS1A03G0854400" "TraesPARA_EIv1.0_0021850" "Ambiguous"
"TraesCS1A03G0855900" "TraesPARA_EIv1.0_0021700" "Conserved"
"TraesCS1A03G0858500" "TraesPARA_EIv1.0_0021440" "Conserved"
"TraesCS1A03G0862200" "TraesPARA_EIv1.0_0021110" "Trans only"
"TraesCS1A03G0864500" "TraesPARA_EIv1.0_0020910" "Conserved"
"TraesCS1A03G0874700" "TraesPARA_EIv1.0_0019850" "Conserved"
"TraesCS1A03G0875600" "TraesPARA_EIv1.0_0019760" "Ambiguous"
"TraesCS1A03G0877600" "TraesPARA_EIv1.0_0019610" "Conserved"
"TraesCS1A03G0879800" "TraesPARA_EIv1.0_0019410" "Conserved"
"TraesCS1A03G0880000" "TraesPARA_EIv1.0_0019400" "Conserved"
"TraesCS1A03G0881200" "TraesPARA_EIv1.0_0019320" "Conserved"
"TraesCS1A03G0881300" "TraesPARA_EIv1.0_0019310" "Ambiguous"
"TraesCS1A03G0881500" "TraesPARA_EIv1.0_0019290" "Conserved"
"TraesCS1A03G0887800" "TraesPARA_EIv1.0_0018670" "Conserved"
"TraesCS1A03G0891900" "TraesPARA_EIv1.0_0018360" "Conserved"
"TraesCS1A03G0895300" "TraesPARA_EIv1.0_0018000" "Conserved"
"TraesCS1A03G0896800" "TraesPARA_EIv1.0_0017830" "Conserved"
"TraesCS1A03G0896900" "TraesPARA_EIv1.0_0017820" "Ambiguous"
"TraesCS1A03G0903400" "TraesPARA_EIv1.0_0008200" "Conserved"
"TraesCS1A03G0903700" "TraesPARA_EIv1.0_0008240" "Trans only"
"TraesCS1A03G0905600" "TraesPARA_EIv1.0_0008400" "Conserved"
"TraesCS1A03G0906100" "TraesPARA_EIv1.0_0008440" "Conserved"
"TraesCS1A03G0909400" "TraesPARA_EIv1.0_0008740" "Conserved"
"TraesCS1A03G0483700" "TraesPARA_EIv1.0_0056320" "Conserved"
"TraesCS1A03G0949800" "TraesPARA_EIv1.0_0012100" "Trans only"
"TraesCS1A03G0952700" "TraesPARA_EIv1.0_0012460" "Conserved"
"TraesCS1A03G0954900" "TraesPARA_EIv1.0_0012680" "Conserved"
"TraesCS1A03G0955000" "TraesPARA_EIv1.0_0012690" "Conserved"
"TraesCS1A03G0975700" "TraesPARA_EIv1.0_0014670" "Conserved"
"TraesCS1A03G0484800" "TraesPARA_EIv1.0_0056180" "Ambiguous"
"TraesCS1A03G0985700" "TraesPARA_EIv1.0_0015790" "Conserved"
"TraesCS1A03G0988300" "TraesPARA_EIv1.0_0016070" "Conserved"
"TraesCS1A03G0993300" "TraesPARA_EIv1.0_0016490" "Ambiguous"
"TraesCS1A03G0486400" "TraesPARA_EIv1.0_0056080" "Conserved"
"TraesCS1A03G0994600" "TraesPARA_EIv1.0_0016660" "Ambiguous"
"TraesCS1A03G1002400" "TraesPARA_EIv1.0_0017460" "Conserved"
"TraesCS1A03G1003700" "TraesPARA_EIv1.0_0017360" "Conserved"
"TraesCS1A03G1006500" "TraesPARA_EIv1.0_0007440" "Conserved"
"TraesCS1A03G1014100" "TraesPARA_EIv1.0_0006810" "Ambiguous"
"TraesCS1A03G1027100" "TraesPARA_EIv1.0_0005640" "Conserved"
"TraesCS1A03G1031500" "TraesPARA_EIv1.0_0005140" "Conserved"
"TraesCS1A03G1035300" "TraesPARA_EIv1.0_0004460" "Conserved"
"TraesCS1A03G1038500" "TraesPARA_EIv1.0_0004230" "Ambiguous"
"TraesCS1A03G1039100" "TraesPARA_EIv1.0_0004200" "Ambiguous"
"TraesCS1A03G1039400" "TraesPARA_EIv1.0_0004180" "Ambiguous"
"TraesCS1A03G1068700" "TraesPARA_EIv1.0_0001250" "Conserved"
"TraesCS1A03G1073700" "TraesPARA_EIv1.0_0000930" "Conserved"
"TraesCS1A03G1075600" "TraesPARA_EIv1.0_0000800" "Ambiguous"
"TraesCS1A03G0488800" "TraesPARA_EIv1.0_0055910" "Conserved"
"TraesCS1A03G0490100" "TraesPARA_EIv1.0_0055800" "Ambiguous"
"TraesCS1A03G0490400" "TraesPARA_EIv1.0_0055770" "Conserved"
"TraesCS1A03G0498700" "TraesPARA_EIv1.0_0055170" "Conserved"
"TraesCS1A03G0500900" "TraesPARA_EIv1.0_0054920" "Ambiguous"
"TraesCS1A03G0502000" "TraesPARA_EIv1.0_0054810" "Ambiguous"
"TraesCS1A03G0455700" "TraesPARA_EIv1.0_0058880" "Ambiguous"
"TraesCS1A03G0505800" "TraesPARA_EIv1.0_0054450" "Ambiguous"
"TraesCS1A03G0506600" "TraesPARA_EIv1.0_0054390" "Conserved"
"TraesCS1A03G0506700" "TraesPARA_EIv1.0_0054380" "Ambiguous"
"TraesCS1A03G0511500" "TraesPARA_EIv1.0_0053960" "Ambiguous"
"TraesCS1A03G0514700" "TraesPARA_EIv1.0_0053650" "Conserved"
"TraesCS1A03G0515200" "TraesPARA_EIv1.0_0053610" "Conserved"
"TraesCS1A03G0516000" "TraesPARA_EIv1.0_0053520" "Conserved"
"TraesCS1A03G0516700" "TraesPARA_EIv1.0_0053460" "Ambiguous"
"TraesCS1A03G0517100" "TraesPARA_EIv1.0_0053430" "Conserved"
"TraesCS1A03G0517900" "TraesPARA_EIv1.0_0053380" "Conserved"
"TraesCS1A03G0520500" "TraesPARA_EIv1.0_0053210" "Conserved"
"TraesCS1A03G0521700" "TraesPARA_EIv1.0_0053120" "Conserved"
"TraesCS1A03G0522900" "TraesPARA_EIv1.0_0053050" "Ambiguous"
"TraesCS1A03G0523000" "TraesPARA_EIv1.0_0053040" "Conserved"
"TraesCS1A03G0526300" "TraesPARA_EIv1.0_0052830" "Trans only"
"TraesCS1A03G0526600" "TraesPARA_EIv1.0_0052820" "Conserved"
"TraesCS1A03G0528100" "TraesPARA_EIv1.0_0052710" "Conserved"
"TraesCS1A03G0528400" "TraesPARA_EIv1.0_0052680" "Ambiguous"
"TraesCS1A03G0529300" "TraesPARA_EIv1.0_0052590" "Conserved"
"TraesCS1A03G0531000" "TraesPARA_EIv1.0_0052440" "Conserved"
"TraesCS1A03G0459500" "TraesPARA_EIv1.0_0058600" "Ambiguous"
"TraesCS1A03G0538400" "TraesPARA_EIv1.0_0051770" "Ambiguous"
"TraesCS1A03G0539100" "TraesPARA_EIv1.0_0051700" "Conserved"
"TraesCS1A03G0542400" "TraesPARA_EIv1.0_0051310" "Ambiguous"
"TraesCS1A03G0542500" "TraesPARA_EIv1.0_0051290" "Conserved"
"TraesCS1A03G0546600" "TraesPARA_EIv1.0_0050850" "Conserved"
"TraesCS1A03G0551200" "TraesPARA_EIv1.0_0050470" "Ambiguous"
"TraesCS1A03G0460600" "TraesPARA_EIv1.0_0058530" "Ambiguous"
"TraesCS1A03G0554000" "TraesPARA_EIv1.0_0049850" "Ambiguous"
"TraesCS1A03G0560400" "TraesPARA_EIv1.0_0049650" "Conserved"
"TraesCS1A03G0561600" "TraesPARA_EIv1.0_0049540" "Conserved"
"TraesCS1A03G0568200" "TraesPARA_EIv1.0_0049010" "Conserved"
"TraesCS1A03G0568300" "TraesPARA_EIv1.0_0049000" "Trans only"
"TraesCS1A03G0568800" "TraesPARA_EIv1.0_0048930" "Ambiguous"
"TraesCS1A03G0572600" "TraesPARA_EIv1.0_0048540" "Conserved"
"TraesCS1A03G0574000" "TraesPARA_EIv1.0_0048360" "Conserved"
"TraesCS1A03G0576000" "TraesPARA_EIv1.0_0048180" "Ambiguous"
"TraesCS1A03G0580100" "TraesPARA_EIv1.0_0047740" "Ambiguous"
"TraesCS1A03G0587300" "TraesPARA_EIv1.0_0047130" "Conserved"
"TraesCS1A03G0588000" "TraesPARA_EIv1.0_0047080" "Ambiguous"
"TraesCS1A03G0588700" "TraesPARA_EIv1.0_0047030" "Conserved"
"TraesCS1B03G0252800" "TraesPARA_EIv1.0_0128350" "Conserved"
"TraesCS1B03G0044800" "TraesPARA_EIv1.0_0107410" "Conserved"
"TraesCS1B03G0260800" "TraesPARA_EIv1.0_0129100" "Ambiguous"
"TraesCS1B03G0265800" "TraesPARA_EIv1.0_0129670" "Conserved"
"TraesCS1B03G0320500" "TraesPARA_EIv1.0_0134740" "Ambiguous"
"TraesCS1B03G0321200" "TraesPARA_EIv1.0_0134780" "Conserved"
"TraesCS1B03G0341500" "TraesPARA_EIv1.0_0136930" "Conserved"
"TraesCS1B03G0348200" "TraesPARA_EIv1.0_0137670" "Conserved"
"TraesCS1B03G0359800" "TraesPARA_EIv1.0_0138790" "Conserved"
"TraesCS1B03G0074000" "TraesPARA_EIv1.0_0110680" "Conserved"
"TraesCS1B03G0075300" "TraesPARA_EIv1.0_0111010" "Ambiguous"
"TraesCS1B03G0077900" "TraesPARA_EIv1.0_0111280" "Ambiguous"
"TraesCS1B03G0395100" "TraesPARA_EIv1.0_0142030" "Ambiguous"
"TraesCS1B03G0485500" "TraesPARA_EIv1.0_0150890" "Conserved"
"TraesCS1B03G0107500" "TraesPARA_EIv1.0_0114470" "Trans only"
"TraesCS1B03G0494100" "TraesPARA_EIv1.0_0151660" "Conserved"
"TraesCS1B03G0510900" "TraesPARA_EIv1.0_0153330" "Ambiguous"
"TraesCS1B03G0512400" "TraesPARA_EIv1.0_0153610" "Conserved"
"TraesCS1B03G0516100" "TraesPARA_EIv1.0_0154010" "Conserved"
"TraesCS1B03G0518100" "TraesPARA_EIv1.0_0154480" "Conserved"
"TraesCS1B03G0544000" "TraesPARA_EIv1.0_0156270" "Conserved"
"TraesCS1B03G0549000" "TraesPARA_EIv1.0_0156770" "Conserved"
"TraesCS1B03G0549500" "TraesPARA_EIv1.0_0156850" "Ambiguous"
"TraesCS1B03G0560900" "TraesPARA_EIv1.0_0157900" "Ambiguous"
"TraesCS1B03G0564700" "TraesPARA_EIv1.0_0158220" "Conserved"
"TraesCS1B03G0138600" "TraesPARA_EIv1.0_0117410" "Conserved"
"TraesCS1B03G0016200" "TraesPARA_EIv1.0_0103800" "Ambiguous"
"TraesCS1B03G0202700" "TraesPARA_EIv1.0_0123250" "Ambiguous"
"TraesCS1B03G0205900" "TraesPARA_EIv1.0_0123660" "Ambiguous"
"TraesCS1B03G0206600" "TraesPARA_EIv1.0_0123740" "Ambiguous"
"TraesCS1B03G0216400" "TraesPARA_EIv1.0_0124600" "Ambiguous"
"TraesCS1B03G0232000" "TraesPARA_EIv1.0_0126110" "Ambiguous"
"TraesCS1B03G0039000" "TraesPARA_EIv1.0_0106700" "Ambiguous"
"TraesCS1B03G0711800" "TraesPARA_EIv1.0_0171890" "Ambiguous"
"TraesCS1B03G0718300" "TraesPARA_EIv1.0_0172510" "Conserved"
"TraesCS1B03G0718600" "TraesPARA_EIv1.0_0172520" "Ambiguous"
"TraesCS1B03G0719800" "TraesPARA_EIv1.0_0172590" "Conserved"
"TraesCS1B03G0726800" "TraesPARA_EIv1.0_0173260" "Ambiguous"
"TraesCS1B03G0728600" "TraesPARA_EIv1.0_0173440" "Conserved"
"TraesCS1B03G0729500" "TraesPARA_EIv1.0_0173490" "Ambiguous"
"TraesCS1B03G0730400" "TraesPARA_EIv1.0_0173580" "Ambiguous"
"TraesCS1B03G0731800" "TraesPARA_EIv1.0_0173700" "Conserved"
"TraesCS1B03G0733100" "TraesPARA_EIv1.0_0173870" "Ambiguous"
"TraesCS1B03G0734300" "TraesPARA_EIv1.0_0174010" "Conserved"
"TraesCS1B03G0737500" "TraesPARA_EIv1.0_0174240" "Conserved"
"TraesCS1B03G0745900" "TraesPARA_EIv1.0_0175130" "Conserved"
"TraesCS1B03G0748200" "TraesPARA_EIv1.0_0175300" "Ambiguous"
"TraesCS1B03G0749400" "TraesPARA_EIv1.0_0175330" "Ambiguous"
"TraesCS1B03G0750100" "TraesPARA_EIv1.0_0175430" "Ambiguous"
"TraesCS1B03G0754200" "TraesPARA_EIv1.0_0175760" "Ambiguous"
"TraesCS1B03G0754300" "TraesPARA_EIv1.0_0175770" "Conserved"
"TraesCS1B03G0758600" "TraesPARA_EIv1.0_0176120" "Conserved"
"TraesCS1B03G0769500" "TraesPARA_EIv1.0_0177360" "Conserved"
"TraesCS1B03G0790600" "TraesPARA_EIv1.0_0178950" "Ambiguous"
"TraesCS1B03G0791600" "TraesPARA_EIv1.0_0179030" "Ambiguous"
"TraesCS1B03G0803000" "TraesPARA_EIv1.0_0180190" "Ambiguous"
"TraesCS1B03G0808500" "TraesPARA_EIv1.0_0179710" "Ambiguous"
"TraesCS1B03G0809200" "TraesPARA_EIv1.0_0179680" "Ambiguous"
"TraesCS1B03G0812200" "TraesPARA_EIv1.0_0179370" "Ambiguous"
"TraesCS1B03G0812400" "TraesPARA_EIv1.0_0179340" "Conserved"
"TraesCS1B03G0812500" "TraesPARA_EIv1.0_0179330" "Ambiguous"
"TraesCS1B03G0828400" "TraesPARA_EIv1.0_0182390" "Conserved"
"TraesCS1B03G0832300" "TraesPARA_EIv1.0_0182800" "Conserved"
"TraesCS1B03G0840600" "TraesPARA_EIv1.0_0183730" "Ambiguous"
"TraesCS1B03G0851200" "TraesPARA_EIv1.0_0184690" "Ambiguous"
"TraesCS1B03G0852700" "TraesPARA_EIv1.0_0184830" "Conserved"
"TraesCS1B03G0591000" "TraesPARA_EIv1.0_0160880" "Conserved"
"TraesCS1B03G0861700" "TraesPARA_EIv1.0_0185550" "Conserved"
"TraesCS1B03G0868300" "TraesPARA_EIv1.0_0186090" "Conserved"
"TraesCS1B03G0873500" "TraesPARA_EIv1.0_0186620" "Conserved"
"TraesCS1B03G0886600" "TraesPARA_EIv1.0_0187620" "Conserved"
"TraesCS1B03G0889300" "TraesPARA_EIv1.0_0188050" "Ambiguous"
"TraesCS1B03G0892400" "TraesPARA_EIv1.0_0188240" "Conserved"
"TraesCS1B03G0896200" "TraesPARA_EIv1.0_0188530" "Conserved"
"TraesCS1B03G0929600" "TraesPARA_EIv1.0_0192160" "Ambiguous"
"TraesCS1B03G0934900" "TraesPARA_EIv1.0_0192620" "Conserved"
"TraesCS1B03G0938300" "TraesPARA_EIv1.0_0192930" "Ambiguous"
"TraesCS1B03G0944600" "TraesPARA_EIv1.0_0193610" "Ambiguous"
"TraesCS1B03G0945100" "TraesPARA_EIv1.0_0193640" "Ambiguous"
"TraesCS1B03G0949700" "TraesPARA_EIv1.0_0194330" "Conserved"
"TraesCS1B03G0963300" "TraesPARA_EIv1.0_0195900" "Ambiguous"
"TraesCS1B03G0971600" "TraesPARA_EIv1.0_0196540" "Ambiguous"
"TraesCS1B03G0974500" "TraesPARA_EIv1.0_0196860" "Trans only"
"TraesCS1B03G0990500" "TraesPARA_EIv1.0_0198400" "Ambiguous"
"TraesCS1B03G0996300" "TraesPARA_EIv1.0_0198960" "Conserved"
"TraesCS1B03G1014800" "TraesPARA_EIv1.0_0200780" "Ambiguous"
"TraesCS1B03G1017900" "TraesPARA_EIv1.0_0200980" "Ambiguous"
"TraesCS1B03G1019900" "TraesPARA_EIv1.0_0201200" "Conserved"
"TraesCS1B03G1036800" "TraesPARA_EIv1.0_0202720" "Ambiguous"
"TraesCS1B03G0600400" "TraesPARA_EIv1.0_0161920" "Conserved"
"TraesCS1B03G0601900" "TraesPARA_EIv1.0_0162070" "Ambiguous"
"TraesCS1B03G0603200" "TraesPARA_EIv1.0_0162130" "Ambiguous"
"TraesCS1B03G1118800" "TraesPARA_EIv1.0_0210690" "Ambiguous"
"TraesCS1B03G1157100" "TraesPARA_EIv1.0_0214070" "Ambiguous"
"TraesCS1B03G1177500" "TraesPARA_EIv1.0_0216360" "Conserved"
"TraesCS1B03G0607400" "TraesPARA_EIv1.0_0162450" "Conserved"
"TraesCS1B03G0607600" "TraesPARA_EIv1.0_0162500" "Conserved"
"TraesCS1B03G1197500" "TraesPARA_EIv1.0_0218180" "Ambiguous"
"TraesCS1B03G1200700" "TraesPARA_EIv1.0_0218580" "Conserved"
"TraesCS1B03G1205300" "TraesPARA_EIv1.0_0218890" "Ambiguous"
"TraesCS1B03G1218900" "TraesPARA_EIv1.0_0220190" "Conserved"
"TraesCS1B03G1236800" "TraesPARA_EIv1.0_0221630" "Conserved"
"TraesCS1B03G1243300" "TraesPARA_EIv1.0_0222290" "Ambiguous"
"TraesCS1B03G1246800" "TraesPARA_EIv1.0_0222660" "Ambiguous"
"TraesCS1B03G1254800" "TraesPARA_EIv1.0_0223390" "Ambiguous"
"TraesCS1B03G1263500" "TraesPARA_EIv1.0_0224510" "Conserved"
"TraesCS1B03G0609800" "TraesPARA_EIv1.0_0162680" "Conserved"
"TraesCS1B03G0610500" "TraesPARA_EIv1.0_0162750" "Ambiguous"
"TraesCS1B03G0612400" "TraesPARA_EIv1.0_0163020" "Ambiguous"
"TraesCS1B03G0615800" "TraesPARA_EIv1.0_0163280" "Conserved"
"TraesCS1B03G0618900" "TraesPARA_EIv1.0_0163590" "Conserved"
"TraesCS1B03G0621100" "TraesPARA_EIv1.0_0163760" "Conserved"
"TraesCS1B03G0621200" "TraesPARA_EIv1.0_0163770" "Conserved"
"TraesCS1B03G0621600" "TraesPARA_EIv1.0_0163800" "Conserved"
"TraesCS1B03G0625000" "TraesPARA_EIv1.0_0164070" "Ambiguous"
"TraesCS1B03G0642600" "TraesPARA_EIv1.0_0165520" "Conserved"
"TraesCS1B03G0644100" "TraesPARA_EIv1.0_0165660" "Ambiguous"
"TraesCS1B03G0644600" "TraesPARA_EIv1.0_0165690" "Ambiguous"
"TraesCS1B03G0646900" "TraesPARA_EIv1.0_0165900" "Ambiguous"
"TraesCS1B03G0647000" "TraesPARA_EIv1.0_0165920" "Conserved"
"TraesCS1B03G0654100" "TraesPARA_EIv1.0_0166460" "Ambiguous"
"TraesCS1B03G0654800" "TraesPARA_EIv1.0_0166540" "Conserved"
"TraesCS1B03G0662800" "TraesPARA_EIv1.0_0167250" "Conserved"
"TraesCS1B03G0666600" "TraesPARA_EIv1.0_0167520" "Ambiguous"
"TraesCS1B03G0667500" "TraesPARA_EIv1.0_0167600" "Ambiguous"
"TraesCS1B03G0670800" "TraesPARA_EIv1.0_0167900" "Conserved"
"TraesCS1B03G0710600" "TraesPARA_EIv1.0_0171790" "Conserved"
"TraesCS1D03G0255400" "TraesPARA_EIv1.0_0251450" "Conserved"
"TraesCS1D03G0285000" "TraesPARA_EIv1.0_0254320" "Ambiguous"
"TraesCS1D03G0058000" "TraesPARA_EIv1.0_0230710" "Ambiguous"
"TraesCS1D03G0065300" "TraesPARA_EIv1.0_0231630" "Conserved"
"TraesCS1D03G0356300" "TraesPARA_EIv1.0_0262400" "Ambiguous"
"TraesCS1D03G0083900" "TraesPARA_EIv1.0_0233410" "Conserved"
"TraesCS1D03G0413000" "TraesPARA_EIv1.0_0267790" "Ambiguous"
"TraesCS1D03G0100000" "TraesPARA_EIv1.0_0235720" "Ambiguous"
"TraesCS1D03G0127000" "TraesPARA_EIv1.0_0238670" "Ambiguous"
"TraesCS1D03G0128700" "TraesPARA_EIv1.0_0238870" "Ambiguous"
"TraesCS1D03G0151500" "TraesPARA_EIv1.0_0241030" "Ambiguous"
"TraesCS1D03G0152900" "TraesPARA_EIv1.0_0241230" "Conserved"
"TraesCS1D03G0153100" "TraesPARA_EIv1.0_0241270" "Conserved"
"TraesCS1D03G0189600" "TraesPARA_EIv1.0_0244700" "Ambiguous"
"TraesCS1D03G0221100" "TraesPARA_EIv1.0_0247910" "Conserved"
"TraesCS1D03G0640900" "TraesPARA_EIv1.0_0290070" "Ambiguous"
"TraesCS1D03G0681600" "TraesPARA_EIv1.0_0293960" "Ambiguous"
"TraesCS1D03G0741100" "TraesPARA_EIv1.0_0299930" "Conserved"
"TraesCS1D03G0744800" "TraesPARA_EIv1.0_0300380" "Ambiguous"
"TraesCS1D03G0753700" "TraesPARA_EIv1.0_0301110" "Conserved"
"TraesCS1D03G0757800" "TraesPARA_EIv1.0_0301520" "Conserved"
"TraesCS1D03G0757900" "TraesPARA_EIv1.0_0301530" "Conserved"
"TraesCS1D03G0758000" "TraesPARA_EIv1.0_0301540" "Conserved"
"TraesCS1D03G0781300" "TraesPARA_EIv1.0_0303720" "Conserved"
"TraesCS1D03G0798500" "TraesPARA_EIv1.0_0305410" "Ambiguous"
"TraesCS1D03G0819900" "TraesPARA_EIv1.0_0307510" "Conserved"
"TraesCS1D03G0822400" "TraesPARA_EIv1.0_0307750" "Conserved"
"TraesCS1D03G0839900" "TraesPARA_EIv1.0_0309430" "Conserved"
"TraesCS1D03G1013100" "TraesPARA_EIv1.0_0326210" "Ambiguous"
"TraesCS1D03G0454400" "TraesPARA_EIv1.0_0271650" "Conserved"
"TraesCS1D03G0578300" "TraesPARA_EIv1.0_0283870" "Conserved"
"TraesCS2A03G0316300" "TraesPARA_EIv1.0_0431580" "Ambiguous"
"TraesCS2A03G0318400" "TraesPARA_EIv1.0_0431380" "Ambiguous"
"TraesCS2A03G0319500" "TraesPARA_EIv1.0_0431290" "Conserved"
"TraesCS2A03G0319900" "TraesPARA_EIv1.0_0431250" "Ambiguous"
"TraesCS2A03G0320900" "TraesPARA_EIv1.0_0431110" "Conserved"
"TraesCS2A03G0324900" "TraesPARA_EIv1.0_0430620" "Conserved"
"TraesCS2A03G0327500" "TraesPARA_EIv1.0_0430400" "Ambiguous"
