group_id,A,B,D,cardinality,synteny,group,chrs,origin
84,TraesCS2A02G593500,TraesCS2B02G607000,TraesCS1D02G031300,01:01:01,non_syntenic,triad,,ABD
85,TraesCS1A02G030500,TraesCS1B02G037600,TraesCS1D02G031400,01:01:01,syntenic,triad,1,ABD
86,TraesCS1A02G030600,TraesCS1B02G037700,TraesCS1D02G031500,01:01:01,syntenic,triad,1,ABD
87,TraesCS1A02G030700,TraesCS1B02G038100,TraesCS1D02G031700,01:01:01,syntenic,triad,1,ABD
88,TraesCS4A02G415200,TraesCS4B02G315900,TraesCS1D02G031800,01:01:01,non_syntenic,triad,,ABD
89,TraesCS1A02G031700,TraesCS1B02G038300,TraesCS1D02G032300,01:01:01,syntenic,triad,1,ABD
90,TraesCS1A02G031100,TraesCS1B02G038900,TraesCS1D02G032500,01:01:01,syntenic,triad,1,ABD
91,TraesCS1A02G031200,TraesCS1B02G038800,TraesCS1D02G032600,01:01:01,syntenic,triad,1,ABD
92,TraesCS1A02G031300,TraesCS1B02G038700,TraesCS1D02G032700,01:01:01,syntenic,triad,1,ABD
93,TraesCS1A02G031600,TraesCS1B02G039620,TraesCS1D02G033205,01:01:01,syntenic,triad,1,ABD
94,TraesCS1A02G031800,TraesCS1B02G039500,TraesCS1D02G033300,01:01:01,syntenic,triad,1,ABD
95,TraesCS1A02G031900,TraesCS1B02G039800,TraesCS1D02G033400,01:01:01,syntenic,triad,1,ABD
96,TraesCS1A02G032000,TraesCS1B02G040400,TraesCS1D02G033700,01:01:01,syntenic,triad,1,ABD
97,TraesCS1A02G033100,TraesCS1B02G041200,TraesCS1D02G034100,01:01:01,syntenic,triad,1,ABD
98,TraesCS1A02G033000,TraesCS1B02G041300,TraesCS1D02G034200,01:01:01,syntenic,triad,1,ABD
99,TraesCS1A02G033200,TraesCS1B02G041400,TraesCS1D02G034600,01:01:01,syntenic,triad,1,ABD
100,TraesCS1A02G033500,TraesCS1B02G042300,TraesCS1D02G034700,01:01:01,syntenic,triad,1,ABD
101,TraesCS1A02G033800,TraesCS1B02G042000,TraesCS1D02G034900,01:01:01,syntenic,triad,1,ABD
102,TraesCS1A02G033300,TraesCS1B02G041900,TraesCS1D02G035000,01:01:01,syntenic,triad,1,ABD
103,TraesCS1A02G034300,TraesCS1B02G050200,TraesCS1D02G035300,01:01:01,syntenic,triad,1,ABD
104,TraesCS1A02G034500,TraesCS1B02G050500,TraesCS1D02G035900,01:01:01,syntenic,triad,1,ABD
105,TraesCS1A02G035000,TraesCS1B02G051100,TraesCS1D02G036300,01:01:01,syntenic,triad,1,ABD
106,TraesCS1A02G035100,TraesCS1B02G044800,TraesCS1D02G036500,01:01:01,syntenic,triad,1,ABD
107,TraesCS1A02G035200,TraesCS1B02G045000,TraesCS1D02G036700,01:01:01,syntenic,triad,1,ABD
108,TraesCS1A02G035300,TraesCS1B02G045100,TraesCS1D02G036800,01:01:01,syntenic,triad,1,ABD
109,TraesCS7A02G004193,TraesCS2B02G486247,TraesCS1D02G037335,01:01:01,non_syntenic,triad,,ABD
110,TraesCS1A02G036000,TraesCS1B02G046400,TraesCS1D02G037600,01:01:01,syntenic,triad,1,ABD
111,TraesCS1A02G036100,TraesCS1B02G046300,TraesCS1D02G037700,01:01:01,syntenic,triad,1,ABD
112,TraesCS1A02G036200,TraesCS1B02G046200,TraesCS1D02G037900,01:01:01,syntenic,triad,1,ABD
113,TraesCS1A02G036300,TraesCS1B02G047000,TraesCS1D02G038000,01:01:01,syntenic,triad,1,ABD
114,TraesCS1A02G036600,TraesCS1B02G047300,TraesCS1D02G038200,01:01:01,syntenic,triad,1,ABD
115,TraesCS1A02G036700,TraesCS1B02G047400,TraesCS1D02G038300,01:01:01,syntenic,triad,1,ABD
116,TraesCS1A02G037200,TraesCS1B02G047600,TraesCS1D02G038900,01:01:01,syntenic,triad,1,ABD
117,TraesCS1A02G037400,TraesCS1B02G047900,TraesCS1D02G039000,01:01:01,syntenic,triad,1,ABD
118,TraesCS1A02G037500,TraesCS1B02G048700,TraesCS1D02G039100,01:01:01,syntenic,triad,1,ABD
119,TraesCS1A02G037600,TraesCS1B02G048000,TraesCS1D02G039200,01:01:01,syntenic,triad,1,ABD
120,TraesCS1A02G037800,TraesCS1B02G048500,TraesCS1D02G039500,01:01:01,syntenic,triad,1,ABD
121,TraesCS1A02G037900,TraesCS1B02G048800,TraesCS1D02G039600,01:01:01,syntenic,triad,1,ABD
122,TraesCS1A02G038100,TraesCS1B02G048900,TraesCS1D02G039800,01:01:01,syntenic,triad,1,ABD
123,TraesCS1A02G038200,TraesCS1B02G049100,TraesCS1D02G039900,01:01:01,syntenic,triad,1,ABD
124,TraesCS1A02G038300,TraesCS1B02G049200,TraesCS1D02G040000,01:01:01,syntenic,triad,1,ABD
125,TraesCS1A02G038400,TraesCS1B02G049300,TraesCS1D02G040100,01:01:01,syntenic,triad,1,ABD
126,TraesCS1A02G039100,TraesCS1B02G051600,TraesCS1D02G040700,01:01:01,syntenic,triad,1,ABD
127,TraesCS1A02G039200,TraesCS1B02G051700,TraesCS1D02G040800,01:01:01,syntenic,triad,1,ABD
128,TraesCS1A02G040600,TraesCS1B02G053600,TraesCS1D02G041200,01:01:01,syntenic,triad,1,ABD
129,TraesCS1A02G040500,TraesCS1B02G053500,TraesCS1D02G041300,01:01:01,syntenic,triad,1,ABD
130,TraesCS1A02G040400,TraesCS1B02G053400,TraesCS1D02G041400,01:01:01,syntenic,triad,1,ABD
131,TraesCS1A02G040300,TraesCS1B02G053100,TraesCS1D02G041600,01:01:01,syntenic,triad,1,ABD
132,TraesCS1A02G040200,TraesCS1B02G053000,TraesCS1D02G041700,01:01:01,syntenic,triad,1,ABD
133,TraesCS1A02G039900,TraesCS1B02G052900,TraesCS1D02G041900,01:01:01,syntenic,triad,1,ABD
134,TraesCS1A02G039800,TraesCS1B02G052800,TraesCS1D02G042100,01:01:01,syntenic,triad,1,ABD
135,TraesCS1A02G040900,TraesCS1B02G053700,TraesCS1D02G042300,01:01:01,syntenic,triad,1,ABD
136,TraesCS1A02G042300,TraesCS1B02G054200,TraesCS1D02G042700,01:01:01,syntenic,triad,1,ABD
137,TraesCS1A02G042400,TraesCS1B02G055000,TraesCS1D02G042800,01:01:01,syntenic,triad,1,ABD
138,TraesCS1A02G042500,TraesCS1B02G054900,TraesCS1D02G042900,01:01:01,syntenic,triad,1,ABD
139,TraesCS1A02G042800,TraesCS1B02G055600,TraesCS1D02G043200,01:01:01,syntenic,triad,1,ABD
140,TraesCS1A02G042700,TraesCS1B02G055200,TraesCS1D02G043300,01:01:01,syntenic,triad,1,ABD
141,TraesCS1A02G042900,TraesCS1B02G055800,TraesCS1D02G043400,01:01:01,syntenic,triad,1,ABD
142,TraesCS1A02G043000,TraesCS1B02G056100,TraesCS1D02G043500,01:01:01,syntenic,triad,1,ABD
143,TraesCS1A02G043100,TraesCS1B02G056000,TraesCS1D02G043600,01:01:01,syntenic,triad,1,ABD
144,TraesCS1A02G043200,TraesCS1B02G055900,TraesCS1D02G043700,01:01:01,syntenic,triad,1,ABD
145,TraesCS1A02G043300,TraesCS1B02G056300,TraesCS1D02G043900,01:01:01,syntenic,triad,1,ABD
146,TraesCS1A02G043400,TraesCS1B02G056400,TraesCS1D02G044000,01:01:01,syntenic,triad,1,ABD
147,TraesCS1A02G043500,TraesCS1B02G056600,TraesCS1D02G044100,01:01:01,syntenic,triad,1,ABD
148,TraesCS1A02G043600,TraesCS1B02G056700,TraesCS1D02G044200,01:01:01,syntenic,triad,1,ABD
149,TraesCS1A02G043800,TraesCS1B02G057000,TraesCS1D02G044500,01:01:01,syntenic,triad,1,ABD
150,TraesCS1A02G044200,TraesCS1B02G057100,TraesCS1D02G044700,01:01:01,syntenic,triad,1,ABD
151,TraesCS1A02G049500,TraesCS1B02G057200,TraesCS1D02G044800,01:01:01,syntenic,triad,1,ABD
152,TraesCS1A02G044500,TraesCS1B02G057800,TraesCS1D02G045100,01:01:01,syntenic,triad,1,ABD
153,TraesCS1A02G044600,TraesCS1B02G057900,TraesCS1D02G045200,01:01:01,syntenic,triad,1,ABD
154,TraesCS1A02G044800,TraesCS1B02G058000,TraesCS1D02G045400,01:01:01,syntenic,triad,1,ABD
155,TraesCS1A02G044900,TraesCS1B02G058100,TraesCS1D02G045500,01:01:01,syntenic,triad,1,ABD
156,TraesCS1A02G045000,TraesCS1B02G058300,TraesCS1D02G045700,01:01:01,syntenic,triad,1,ABD
157,TraesCS6A02G074300,TraesCS3B02G476400,TraesCS1D02G045800,01:01:01,non_syntenic,triad,,ABD
158,TraesCS1A02G045300,TraesCS1B02G058600,TraesCS1D02G046000,01:01:01,syntenic,triad,1,ABD
159,TraesCS1A02G045400,TraesCS1B02G058700,TraesCS1D02G046100,01:01:01,syntenic,triad,1,ABD
160,TraesCS1A02G045500,TraesCS1B02G058800,TraesCS1D02G046200,01:01:01,syntenic,triad,1,ABD
161,TraesCS1A02G045800,TraesCS1B02G059000,TraesCS1D02G046400,01:01:01,syntenic,triad,1,ABD
162,TraesCS1A02G046100,TraesCS1B02G059500,TraesCS1D02G046700,01:01:01,syntenic,triad,1,ABD
163,TraesCS1A02G046300,TraesCS1B02G059800,TraesCS1D02G047100,01:01:01,syntenic,triad,1,ABD
164,TraesCS1A02G046500,TraesCS1B02G060000,TraesCS1D02G047400,01:01:01,syntenic,triad,1,ABD
165,TraesCS1A02G046600,TraesCS1B02G060100,TraesCS1D02G047600,01:01:01,syntenic,triad,1,ABD
166,TraesCS1A02G046900,TraesCS1B02G060300,TraesCS1D02G047700,01:01:01,syntenic,triad,1,ABD
167,TraesCS1A02G046800,TraesCS1B02G060200,TraesCS1D02G047800,01:01:01,syntenic,triad,1,ABD
168,TraesCS1A02G047000,TraesCS1B02G060700,TraesCS1D02G047900,01:01:01,syntenic,triad,1,ABD
169,TraesCS1A02G047200,TraesCS1B02G061200,TraesCS1D02G048200,01:01:01,syntenic,triad,1,ABD
170,TraesCS1A02G047300,TraesCS1B02G061800,TraesCS1D02G048300,01:01:01,syntenic,triad,1,ABD
171,TraesCS7A02G107000,TraesCS6B02G438300,TraesCS1D02G048400,01:01:01,non_syntenic,triad,,ABD
172,TraesCS1A02G047700,TraesCS1B02G062100,TraesCS1D02G048800,01:01:01,syntenic,triad,1,ABD
173,TraesCS1A02G048000,TraesCS1B02G062200,TraesCS1D02G048900,01:01:01,syntenic,triad,1,ABD
174,TraesCS1A02G048100,TraesCS1B02G062300,TraesCS1D02G049000,01:01:01,syntenic,triad,1,ABD
175,TraesCS1A02G048300,TraesCS1B02G062700,TraesCS1D02G049600,01:01:01,syntenic,triad,1,ABD
176,TraesCS1A02G048400,TraesCS1B02G062900,TraesCS1D02G049800,01:01:01,syntenic,triad,1,ABD
177,TraesCS1A02G048900,TraesCS1B02G064400,TraesCS1D02G050100,01:01:01,syntenic,triad,1,ABD
178,TraesCS1A02G049300,TraesCS1B02G065700,TraesCS1D02G051300,01:01:01,syntenic,triad,1,ABD
179,TraesCS1A02G049700,TraesCS1B02G065900,TraesCS1D02G051900,01:01:01,syntenic,triad,1,ABD
180,TraesCS1A02G049600,TraesCS1B02G066000,TraesCS1D02G052000,01:01:01,syntenic,triad,1,ABD
181,TraesCS1A02G050100,TraesCS1B02G066400,TraesCS1D02G052200,01:01:01,syntenic,triad,1,ABD
182,TraesCS1A02G050300,TraesCS1B02G066700,TraesCS1D02G052600,01:01:01,syntenic,triad,1,ABD
183,TraesCS1A02G050400,TraesCS1B02G066900,TraesCS1D02G052700,01:01:01,syntenic,triad,1,ABD
184,TraesCS1A02G050600,TraesCS1B02G067000,TraesCS1D02G052800,01:01:01,syntenic,triad,1,ABD
185,TraesCS1A02G050800,TraesCS1B02G067100,TraesCS1D02G052900,01:01:01,syntenic,triad,1,ABD
186,TraesCS1A02G051300,TraesCS1B02G068000,TraesCS1D02G053300,01:01:01,syntenic,triad,1,ABD
187,TraesCS1A02G051400,TraesCS1B02G068100,TraesCS1D02G053400,01:01:01,syntenic,triad,1,ABD
188,TraesCS1A02G051500,TraesCS1B02G068200,TraesCS1D02G053500,01:01:01,syntenic,triad,1,ABD
189,TraesCS1A02G051600,TraesCS1B02G068300,TraesCS1D02G053600,01:01:01,syntenic,triad,1,ABD
190,TraesCS1A02G051700,TraesCS1B02G068500,TraesCS1D02G053700,01:01:01,syntenic,triad,1,ABD
191,TraesCS1A02G051800,TraesCS1B02G068600,TraesCS1D02G053800,01:01:01,syntenic,triad,1,ABD
192,TraesCS1A02G051900,TraesCS1B02G068700,TraesCS1D02G053900,01:01:01,syntenic,triad,1,ABD
193,TraesCS1A02G052000,TraesCS1B02G069000,TraesCS1D02G054000,01:01:01,syntenic,triad,1,ABD
194,TraesCS1A02G052300,TraesCS1B02G069200,TraesCS1D02G054200,01:01:01,syntenic,triad,1,ABD
195,TraesCS1A02G054000,TraesCS1B02G071200,TraesCS1D02G054900,01:01:01,syntenic,triad,1,ABD
196,TraesCS1A02G054200,TraesCS1B02G071300,TraesCS1D02G055000,01:01:01,syntenic,triad,1,ABD
197,TraesCS1A02G054300,TraesCS1B02G071400,TraesCS1D02G055100,01:01:01,syntenic,triad,1,ABD
198,TraesCS1A02G054400,TraesCS1B02G071500,TraesCS1D02G055200,01:01:01,syntenic,triad,1,ABD
199,TraesCS1A02G054900,TraesCS1B02G071700,TraesCS1D02G055600,01:01:01,syntenic,triad,1,ABD
200,TraesCS1A02G055000,TraesCS1B02G071800,TraesCS1D02G055700,01:01:01,syntenic,triad,1,ABD
201,TraesCS1A02G055100,TraesCS1B02G071900,TraesCS1D02G055800,01:01:01,syntenic,triad,1,ABD
202,TraesCS1A02G055200,TraesCS1B02G072000,TraesCS1D02G055900,01:01:01,syntenic,triad,1,ABD
203,TraesCS1A02G055300,TraesCS1B02G072100,TraesCS1D02G056000,01:01:01,syntenic,triad,1,ABD
204,TraesCS1A02G055400,TraesCS1B02G072200,TraesCS1D02G056100,01:01:01,syntenic,triad,1,ABD
205,TraesCS1A02G056000,TraesCS1B02G073000,TraesCS1D02G056700,01:01:01,syntenic,triad,1,ABD
206,TraesCS1A02G056100,TraesCS1B02G073300,TraesCS1D02G056800,01:01:01,syntenic,triad,1,ABD
207,TraesCS1A02G056200,TraesCS1B02G073400,TraesCS1D02G056900,01:01:01,syntenic,triad,1,ABD
208,TraesCS1A02G056500,TraesCS1B02G073600,TraesCS1D02G057200,01:01:01,syntenic,triad,1,ABD
209,TraesCS1A02G056600,TraesCS1B02G073700,TraesCS1D02G057300,01:01:01,syntenic,triad,1,ABD
210,TraesCS1A02G056900,TraesCS1B02G074300,TraesCS1D02G057600,01:01:01,syntenic,triad,1,ABD
211,TraesCS1A02G057400,TraesCS1B02G075000,TraesCS1D02G058200,01:01:01,syntenic,triad,1,ABD
212,TraesCS1A02G057200,TraesCS1B02G075200,TraesCS1D02G058300,01:01:01,syntenic,triad,1,ABD
213,TraesCS1A02G057800,TraesCS1B02G075500,TraesCS1D02G058600,01:01:01,syntenic,triad,1,ABD
214,TraesCS1A02G057900,TraesCS1B02G075600,TraesCS1D02G058700,01:01:01,syntenic,triad,1,ABD
215,TraesCS1A02G058400,TraesCS1B02G076300,TraesCS1D02G059200,01:01:01,syntenic,triad,1,ABD
216,TraesCS1A02G058500,TraesCS1B02G075900,TraesCS1D02G059600,01:01:01,syntenic,triad,1,ABD
217,TraesCS1A02G058600,TraesCS1B02G076900,TraesCS1D02G059700,01:01:01,syntenic,triad,1,ABD
218,TraesCS1A02G058700,TraesCS1B02G077000,TraesCS1D02G059800,01:01:01,syntenic,triad,1,ABD
219,TraesCS1A02G058800,TraesCS1B02G077200,TraesCS1D02G059900,01:01:01,syntenic,triad,1,ABD
220,TraesCS1A02G058900,TraesCS1B02G077300,TraesCS1D02G060000,01:01:01,syntenic,triad,1,ABD
221,TraesCS1A02G059100,TraesCS1B02G077500,TraesCS1D02G060500,01:01:01,syntenic,triad,1,ABD
222,TraesCS1A02G059200,TraesCS1B02G077600,TraesCS1D02G060600,01:01:01,syntenic,triad,1,ABD
223,TraesCS1A02G059600,TraesCS1B02G077800,TraesCS1D02G060800,01:01:01,syntenic,triad,1,ABD
224,TraesCS1A02G059700,TraesCS1B02G077900,TraesCS1D02G060900,01:01:01,syntenic,triad,1,ABD
225,TraesCS1A02G059800,TraesCS1B02G078200,TraesCS1D02G061000,01:01:01,syntenic,triad,1,ABD
226,TraesCS1A02G060100,TraesCS1B02G078600,TraesCS1D02G061100,01:01:01,syntenic,triad,1,ABD
227,TraesCS1A02G060200,TraesCS1B02G078700,TraesCS1D02G061200,01:01:01,syntenic,triad,1,ABD
228,TraesCS1A02G060500,TraesCS1B02G078800,TraesCS1D02G061400,01:01:01,syntenic,triad,1,ABD
229,TraesCS1A02G060600,TraesCS1B02G078900,TraesCS1D02G061500,01:01:01,syntenic,triad,1,ABD
230,TraesCS1A02G060900,TraesCS1B02G079100,TraesCS1D02G061800,01:01:01,syntenic,triad,1,ABD
231,TraesCS1A02G061400,TraesCS1B02G079800,TraesCS1D02G062200,01:01:01,syntenic,triad,1,ABD
232,TraesCS1A02G061500,TraesCS1B02G079900,TraesCS1D02G062300,01:01:01,syntenic,triad,1,ABD
233,TraesCS3A02G467200,TraesCS1B02G080000,TraesCS1D02G062400,01:01:01,non_syntenic,triad,,ABD
234,TraesCS7A02G342600,TraesCS1B02G080200,TraesCS1D02G062500,01:01:01,non_syntenic,triad,,ABD
235,TraesCS1A02G062000,TraesCS1B02G080300,TraesCS1D02G062900,01:01:01,syntenic,triad,1,ABD
236,TraesCS1A02G062100,TraesCS1B02G080500,TraesCS1D02G063000,01:01:01,syntenic,triad,1,ABD
237,TraesCS1A02G062400,TraesCS1B02G080700,TraesCS1D02G063400,01:01:01,syntenic,triad,1,ABD
238,TraesCS1A02G063500,TraesCS1B02G081400,TraesCS1D02G064000,01:01:01,syntenic,triad,1,ABD
239,TraesCS1A02G063600,TraesCS1B02G081500,TraesCS1D02G064100,01:01:01,syntenic,triad,1,ABD
240,TraesCS1A02G064000,TraesCS1B02G081900,TraesCS1D02G064500,01:01:01,syntenic,triad,1,ABD
