CS11.A	CS11.B	CS11.D
TraesCS1A02G258800.1	TraesCS1B02G269400.1	TraesCS1D02G258800.1
TraesCS3A02G333300.1	TraesCS3B02G363500.1	TraesCS3D02G326900.1
TraesCS4A02G296600.1	TraesCS4B02G017100.1	TraesCS4D02G015400.1
TraesCS5A02G416400.1	TraesCS5B02G418700.1	TraesCS5D02G424100.1
TraesCS5A02G051900.1	"TraesCS1B02G386600.1, TraesCS1B02G386200.1, TraesCS1B02G386500.1, TraesCS1B02G386700.1, TraesCS5B02G064900.1, TraesCS5B02G058200.1"	"TraesCS1D02G373900.1, TraesCS1D02G373800.1, TraesCS5D02G063200.1"
TraesCS5A02G136300.1	TraesCS5B02G058700.1	"TraesCS6D02G196800.1, TraesCS2D02G210800.1"
TraesCS1A02G105200.1	TraesCS5B02G225000.1	"TraesCS5D02G486900.1, TraesCS3D02G427600.1, TraesCS2D02G402600.1, TraesCS7D02G228300.1, TraesCS6D02G253200.1, TraesCS4D02G096300.1, TraesCS3D02G199000.1, TraesCS3D02G263100.1, TraesCS6D02G388600.1, TraesCS2D02G330800.1, TraesCS2D02G234300.1"
"TraesCS3A02G053000.1, TraesCS3A02G053100.1"	"TraesCS3B02G062900.1, TraesCS3B02G062800.1, TraesCS3B02G064100.1, TraesCS3B02G063700.1, TraesCS3B02G063100.1, TraesCS3B02G063000.1, TraesCS3B02G064300.1, TraesCS3B02G064400.1, TraesCS3B02G063900.1, TraesCS3B02G064200.1, TraesCS3B02G062600.1, TraesCS3B02G064000.1, TraesCS3B02G063600.1, TraesCS3B02G063400.1, TraesCS3B02G063500.1, TraesCS3B02G063200.1"	"TraesCS3D02G052100.1, TraesCS3D02G051900.1"
TraesCS3A02G445900.1	TraesCS3B02G481000.1	TraesCS3D02G438600.1
"TraesCS1A02G318900.1, TraesCS1A02G318000.1"	TraesCS4B02G340100.1	TraesCS1D02G318700.1
TraesCS7A02G162600.1	TraesCS7B02G068300.1	TraesCS7D02G164500.1
TraesCS7A02G162700.1	TraesCS7B02G068400.1	TraesCS7D02G164700.1
"TraesCS2A02G476500.1, TraesCS2A02G476900.1, TraesCS2A02G476600.1, TraesCS2A02G476800.2, TraesCS2A02G477000.1, TraesCS2A02G476700.1"	"TraesCS2B02G500100.1, TraesCS2B02G500200.1, TraesCS2B02G500300.1"	TraesCS2D02G476400.1
TraesCS6A02G032800.1	TraesCS6B02G046500.1	TraesCS6D02G037800.1
TraesCS2A02G083000.1	"TraesCS2B02G097100.1, TraesCS2B02G097300.1"	"TraesCS2D02G080900.1, TraesCS2D02G080800.1"
"TraesCS5A02G415600.1, TraesCS4A02G107600.1, TraesCS5A02G415400.1, TraesCS4A02G107700.1"	"TraesCS4B02G196900.1, TraesCS5B02G418100.1, TraesCS5B02G418200.1, TraesCS4B02G196800.2"	"TraesCS4D02G197200.1, TraesCS4D02G197100.1, TraesCS5D02G423300.1, TraesCS5D02G423400.1"
"TraesCS5A02G219700.1, TraesCS5A02G219600.1"	"TraesCS5B02G218400.1, TraesCS5B02G218200.1, TraesCS5B02G218500.1"	TraesCS5D02G227500.1
"TraesCS5A02G219400.1, TraesCS5A02G219500.1"	TraesCS5B02G217900.1	TraesCS5D02G227600.1
TraesCS4A02G356100.2	TraesCS5B02G516100.1	TraesCS5D02G516200.1
TraesCS1A02G020500.2	TraesCS1B02G024500.1	TraesCS1D02G020000.1
TraesCS3A02G377300.1	TraesCS3B02G410000.1	TraesCS3D02G370400.3
TraesCS5A02G368700.1	TraesCS5B02G371100.1	TraesCS5D02G378100.1
"TraesCS5A02G368800.1, TraesCS5A02G368600.2"	TraesCS5B02G371200.2	"TraesCS5D02G378300.1, TraesCS5D02G378200.1"
TraesCS2A02G278500.1	TraesCS2B02G296100.1	TraesCS2D02G277600.1
TraesCS2A02G278400.1	TraesCS2B02G296000.1	TraesCS2D02G277400.1
TraesCS4A02G279200.1	TraesCS4B02G033300.1	TraesCS4D02G031900.1
"TraesCS7A02G194000.1, TraesCS7A02G193800.1"	"TraesCS7B02G099200.1, TraesCS7B02G099800.1"	"TraesCS7D02G195000.1, TraesCS7D02G195400.1"
TraesCS7A02G194200.1	"TraesCS7B02G099100.1, TraesCS7B02G099300.1, TraesCS7B02G099400.1"	TraesCS7D02G195700.1
TraesCS7A02G194100.1	TraesCS7B02G099600.1	"TraesCS7D02G195500.1, TraesCS7D02G195200.1"
TraesCS4A02G035700.1	TraesCS4B02G268400.1	TraesCS4D02G267800.1
TraesCS1A02G222100.1	TraesCS1B02G235300.1	TraesCS1D02G223800.1
TraesCS7A02G425200.1	TraesCS7B02G324800.1	TraesCS7D02G416600.1
TraesCS4A02G098900.1	TraesCS4B02G205400.1	TraesCS4D02G206300.1
TraesCS7A02G389300.1	TraesCS7B02G291100.2	TraesCS7D02G385300.1
TraesCS6A02G031200.1	TraesCS6B02G044000.1	TraesCS6D02G035600.1
TraesCS6A02G031000.1	TraesCS6B02G044200.1	TraesCS6D02G035700.1
TraesCS5A02G439900.1	"TraesCS5B02G443000.1, TraesCS5B02G442900.1, TraesCS5B02G443100.1, TraesCS5B02G442800.1, TraesCS5B02G443500.1, TraesCS5B02G443300.1, TraesCS5B02G443200.1, TraesCS5B02G443600.1, TraesCS5B02G443700.1, TraesCS5B02G443400.1, TraesCS5B02G443800.1"	TraesCS5D02G447000.1
TraesCS3A02G034500.1	TraesCS5B02G245700.1	"TraesCS3D02G045700.1, TraesCS3D02G046600.1, TraesCS3D02G046300.1, TraesCS3D02G045800.1"
TraesCS3A02G145100.1	TraesCS1B02G419200.1	TraesCS1D02G399100.1
TraesCS5A02G475400.1	"TraesCS5B02G488400.1, TraesCS5B02G488700.1, TraesCS5B02G488500.1"	TraesCS5D02G487700.1
"TraesCS1A02G316600.1, TraesCS1A02G316400.1, TraesCS1A02G316800.1, TraesCS1A02G316700.1"	"TraesCS1B02G328900.1, TraesCS1B02G328500.1, TraesCS1B02G328700.1, TraesCS1B02G329100.1"	"TraesCS1D02G316400.1, TraesCS1D02G316800.1"
TraesCS4A02G141300.1	TraesCS1B02G405600.1	TraesCS4D02G162200.1
"TraesCS2A02G469700.1, TraesCS2A02G469600.1, TraesCS2A02G469800.1"	"TraesCS2B02G492500.1, TraesCS2B02G492600.1"	TraesCS2D02G469700.1
TraesCS7A02G113700.1	TraesCS7B02G011400.1	TraesCS7D02G108800.1
TraesCS4A02G390500.1	TraesCS6B02G078100.1	TraesCS6D02G018100.1
TraesCS5A02G445600.1	TraesCS5B02G458200.1	"TraesCS5D02G454500.1, TraesCS5D02G444000.1"
TraesCS5A02G455900.1	"TraesCS5B02G464900.1, TraesCS5B02G477300.1, TraesCS5B02G455600.1, TraesCS5B02G452400.1"	"TraesCS5D02G466700.1, TraesCS5D02G192800.1"
TraesCS6A02G040200.1	"TraesCS7B02G405800.1, TraesCS7B02G394400.1, TraesCS7B02G394100.1, TraesCS7B02G394600.1"	TraesCS3D02G342400.1
TraesCS4A02G257800.1	TraesCS4B02G056700.1	TraesCS4D02G057000.1
TraesCS1A02G350200.1	TraesCS1B02G364500.3	TraesCS1D02G353100.5
TraesCS5A02G407800.1	TraesCS5B02G412700.1	TraesCS5D02G417700.1
TraesCS2A02G185500.2	TraesCS2B02G221800.1	TraesCS2D02G202200.1
TraesCS4A02G065700.1	TraesCS4B02G243100.1	TraesCS4D02G242700.1
TraesCS2A02G481500.1	TraesCS2B02G507800.2	TraesCS2D02G481800.1
TraesCS2A02G482200.1	TraesCS2B02G508500.1	"TraesCS2D02G500300.2, TraesCS2D02G482200.1"
TraesCS1A02G301600.1	TraesCS1B02G311400.1	TraesCS1D02G301300.1
TraesCS3A02G342500.1	TraesCS3B02G374500.1	TraesCS3D02G336300.1
TraesCS7A02G343800.1	TraesCS7B02G239300.1	TraesCS7D02G335800.1
TraesCS3A02G238400.1	TraesCS3B02G266900.1	TraesCS3D02G238700.1
TraesCS1A02G316300.1	"TraesCS1B02G329000.1, TraesCS1B02G328400.1, TraesCS1B02G328800.1"	"TraesCS1D02G316300.1, TraesCS1D02G316500.1, TraesCS1D02G316700.1"
TraesCS3A02G232300.1	"TraesCS3B02G261500.1, TraesCS5B02G509600.1"	TraesCS3D02G220900.1
TraesCS7A02G461100.1	TraesCS7B02G362600.1	TraesCS7D02G449300.1
TraesCS4A02G363700.1	TraesCS5B02G509700.1	TraesCS5D02G509800.1
TraesCS5A02G345000.1	"TraesCS5B02G343200.1, TraesCS5B02G346000.1"	TraesCS5D02G349300.1
TraesCS7A02G498900.1	TraesCS7B02G406000.1	TraesCS7D02G485900.1
TraesCS7A02G427000.1	TraesCS7B02G326900.1	TraesCS7D02G418600.1
TraesCS5A02G142100.1	TraesCS5B02G140900.1	TraesCS5D02G150000.1
TraesCS2A02G273800.1	TraesCS3B02G197600.1	TraesCS2D02G272800.2
TraesCS3A02G473400.1	"TraesCS1B02G361900.1, TraesCS3B02G186900.1, TraesCS1B02G326300.1"	TraesCS1D02G170800.1
TraesCS3A02G373600.1	TraesCS3B02G405900.1	TraesCS3D02G366400.1
"TraesCS7A02G177700.1, TraesCS7A02G177500.1"	TraesCS7B02G083100.1	"TraesCS7D02G179300.1, TraesCS7D02G179000.1, TraesCS7D02G179100.1"
TraesCS2A02G179900.1	TraesCS2B02G206500.1	TraesCS2D02G188600.1
TraesCS3A02G088300.1	"TraesCS3B02G103800.1, TraesCS3B02G104000.1, TraesCS3B02G103900.1, TraesCS3B02G103700.1"	TraesCS3D02G088700.1
"TraesCS7A02G230600.1, TraesCS4A02G457300.1, TraesCS6A02G194100.1"	"TraesCS1B02G057300.1, TraesCS2B02G449000.1"	TraesCS4D02G043600.1
TraesCS1A02G407300.1	TraesCS5B02G530000.1	TraesCS5D02G529000.1
TraesCS6A02G386200.1	TraesCS6B02G425200.1	TraesCS6D02G370800.1
TraesCS2A02G049900.1	TraesCS2B02G060800.1	TraesCS2D02G049200.1
TraesCS7A02G491100.1	TraesCS7B02G394900.1	"TraesCS7D02G477300.1, TraesCS7D02G477400.1"
"TraesCS4A02G351400.1, TraesCS4A02G351100.1, TraesCS4A02G351200.1, TraesCS4A02G351000.1, TraesCS4A02G351300.1"	"TraesCS5B02G522300.1, TraesCS5B02G522200.1, TraesCS5B02G522100.1"	TraesCS5D02G521000.1
TraesCS2A02G035300.1	"TraesCS2B02G613100.1, TraesCS2B02G048400.1"	TraesCS2D02G034500.1
TraesCS7A02G468600.1	"TraesCS7B02G370400.1, TraesCS7B02G370300.1"	TraesCS7D02G456100.1
TraesCS5A02G427700.1	TraesCS5B02G429700.1	TraesCS5D02G435800.1
TraesCS5A02G428000.1	TraesCS5B02G429900.1	TraesCS5D02G436000.1
"TraesCS5A02G427800.2, TraesCS5A02G427900.1"	TraesCS5B02G429800.1	TraesCS5D02G435900.2
TraesCS7A02G506300.1	TraesCS7B02G413800.1	TraesCS7D02G494400.1
TraesCS2A02G545000.1	TraesCS2B02G575400.1	TraesCS2D02G545900.1
TraesCS2A02G544500.4	TraesCS2B02G574800.2	TraesCS2D02G545500.1
TraesCS2A02G544900.1	"TraesCS2B02G575300.1, TraesCS2B02G575100.2"	TraesCS2D02G545700.1
TraesCS7A02G499400.1	TraesCS7B02G406300.1	TraesCS7D02G486200.1
TraesCS3A02G113100.1	"TraesCS3B02G130900.1, TraesCS3B02G131000.1, TraesCS3B02G130300.1, TraesCS3B02G130500.1, TraesCS3B02G130400.1"	"TraesCS3D02G115000.1, TraesCS3D02G115100.1, TraesCS3D02G115200.1, TraesCS4D02G145500.1, TraesCS3D02G115300.1, TraesCS3D02G115400.1"
TraesCS4A02G006500.1	"TraesCS4B02G298500.1, TraesCS4B02G298400.1"	"TraesCS4D02G297400.1, TraesCS4D02G297300.1"
TraesCS7A02G125700.1	TraesCS7B02G024600.1	TraesCS7D02G122800.1
TraesCS1A02G430100.1	TraesCS1B02G464900.1	TraesCS1D02G439400.1
"TraesCS2A02G498400.1, TraesCS2A02G498300.1, TraesCS2A02G498200.1"	TraesCS2B02G526500.1	"TraesCS2D02G498700.1, TraesCS2D02G498600.1, TraesCS2D02G498400.1, TraesCS2D02G498500.2"
TraesCS2A02G498500.1	TraesCS2B02G526600.1	TraesCS2D02G498800.1
TraesCS3A02G506100.1	TraesCS4B02G166900.1	"TraesCS3D02G356100.1, TraesCS4D02G201500.1"
TraesCS2A02G021700.1	TraesCS2B02G072600.1	TraesCS2D02G022700.1
TraesCS6A02G066800.1	"TraesCS6B02G076600.1, TraesCS6B02G027600.1, TraesCS1B02G399400.1, TraesCS6B02G076700.1, TraesCS6B02G090000.1"	"TraesCS6D02G023500.1, TraesCS6D02G023400.1"
TraesCS2A02G432400.1	TraesCS2B02G453700.1	TraesCS2D02G430200.1
"TraesCS2A02G432200.1, TraesCS2A02G432500.1, TraesCS2A02G432300.1"	"TraesCS2B02G453800.1, TraesCS2B02G453600.1"	"TraesCS2D02G430400.1, TraesCS2D02G430300.1, TraesCS2D02G430100.1"
TraesCS4A02G336200.2	TraesCS5B02G536000.2	TraesCS5D02G533500.1
TraesCS3A02G519600.1	"TraesCS3B02G586400.1, TraesCS3B02G587200.1, TraesCS4B02G327300.1"	"TraesCS3D02G526200.1, TraesCS4D02G324100.1"
TraesCS5A02G499500.1	TraesCS4B02G327400.1	"TraesCS4D02G324300.1, TraesCS4D02G324500.1, TraesCS4D02G324400.1"
TraesCS3A02G378900.1	"TraesCS1B02G355200.1, TraesCS3B02G411600.1"	TraesCS3D02G372300.1
TraesCS1A02G342300.1	TraesCS1B02G354900.1	TraesCS1D02G344300.1
TraesCS3A02G096400.1	TraesCS3B02G112200.1	TraesCS3D02G096900.1
"TraesCS3A02G512800.1, TraesCS7A02G390800.1, TraesCS7A02G390900.1"	TraesCS7B02G398300.1	TraesCS7D02G386400.1
TraesCS3A02G472700.1	TraesCS7B02G031200.1	TraesCS7D02G219900.1
TraesCS5A02G116900.1	TraesCS4B02G147200.1	"TraesCS6D02G374600.1, TraesCS6D02G175800.1"
"TraesCS2A02G510400.1, TraesCS2A02G510800.2"	TraesCS2B02G538700.1	"TraesCS2D02G512100.1, TraesCS2D02G511900.1, TraesCS2D02G511800.1"
TraesCS5A02G337500.1	TraesCS5B02G336300.1	TraesCS5D02G342100.1
"TraesCS5A02G337800.1, TraesCS5A02G337900.1, TraesCS5A02G337700.1"	"TraesCS5B02G336700.1, TraesCS5B02G336600.1, TraesCS5B02G336500.1"	"TraesCS5D02G342400.1, TraesCS5D02G342300.1"
TraesCS6A02G032700.1	"TraesCS6B02G046200.1, TraesCS6B02G046000.1, TraesCS6B02G046300.1, TraesCS6B02G046100.1"	"TraesCS6D02G037500.1, TraesCS6D02G037700.1"
TraesCS6A02G099198.1	"TraesCS6B02G127557.1, TraesCS6B02G127500.1"	TraesCS6D02G083400.1
TraesCS7A02G489200.1	TraesCS7B02G392400.1	"TraesCS7D02G475500.1, TraesCS7D02G475600.1"
TraesCS7A02G138800.1	"TraesCS7B02G040900.1, TraesCS7B02G040400.1"	"TraesCS7D02G140600.1, TraesCS7D02G140000.1, TraesCS7D02G139900.1"
TraesCS2A02G485000.1	TraesCS2B02G511400.1	TraesCS2D02G485100.1
"TraesCS2A02G536700.1, TraesCS2A02G536600.1, TraesCS2A02G536900.1"	"TraesCS2B02G567400.1, TraesCS2B02G567200.1"	"TraesCS2D02G538100.1, TraesCS2D02G538000.1"
TraesCS3A02G040900.1	TraesCS3B02G544200.1	"TraesCS3D02G490500.1, TraesCS7D02G477200.1"
"TraesCS6A02G334200.1, TraesCS6A02G334100.1"	"TraesCS6B02G364800.1, TraesCS6B02G364900.1"	"TraesCS6D02G313500.1, TraesCS6D02G313300.1"
TraesCS6A02G319300.1	"TraesCS6B02G349800.1, TraesCS6B02G349500.1, TraesCS6B02G349700.1"	TraesCS6D02G298500.1
TraesCS6A02G389000.1	"TraesCS6B02G428000.1, TraesCS6B02G428300.1, TraesCS1B02G366500.2, TraesCS7B02G104800.1, TraesCS6B02G428100.3"	"TraesCS6D02G372800.1, TraesCS6D02G373000.2"
TraesCS3A02G528000.1	"TraesCS3B02G596800.1, TraesCS3B02G596400.1, TraesCS3B02G597000.1, TraesCS3B02G596600.1"	TraesCS3D02G533200.1
TraesCS4A02G351600.1	TraesCS5B02G521900.1	TraesCS5D02G520800.1
TraesCS7A02G319000.1	TraesCS7B02G219800.1	TraesCS7D02G315500.1
TraesCS7A02G452000.1	TraesCS7B02G351800.1	"TraesCS7D02G440900.1, TraesCS7D02G441000.1"
TraesCS3A02G180300.1	TraesCS3B02G210000.1	TraesCS3D02G185200.1
TraesCS3A02G180200.1	TraesCS3B02G209900.1	TraesCS3D02G185100.1
TraesCS1A02G335800.1	TraesCS1B02G349100.1	TraesCS1D02G338200.1
"TraesCS4A02G301000.1, TraesCS2A02G037500.1, TraesCS5A02G474800.1"	"TraesCS1B02G343200.1, TraesCS4B02G160900.1, TraesCS3B02G398800.1, TraesCS6B02G031400.1, TraesCS7B02G264500.1"	TraesCS3D02G010200.1
TraesCS5A02G429000.1	TraesCS5B02G431100.1	TraesCS5D02G437100.1
TraesCS3A02G112600.1	"TraesCS1B02G140300.1, TraesCS3B02G131500.2"	"TraesCS1D02G121800.1, TraesCS3D02G114600.3"
"TraesCS7A02G482788.1, TraesCS7A02G482800.1, TraesCS7A02G482400.1, TraesCS7A02G482600.1"	"TraesCS7B02G385100.1, TraesCS7B02G384800.1, TraesCS7B02G384700.1, TraesCS7B02G384600.1, TraesCS7B02G385000.1, TraesCS7B02G384900.1"	TraesCS7D02G469700.1
"TraesCS1A02G088400.1, TraesCS1A02G088300.1"	"TraesCS1B02G107400.1, TraesCS1B02G107500.1"	TraesCS1D02G089600.1
TraesCS2A02G542200.1	"TraesCS2B02G572000.1, TraesCS2B02G572200.1"	TraesCS2D02G543500.1
"TraesCS6A02G199500.1, TraesCS7A02G259900.1, TraesCS3A02G202400.1, TraesCS5A02G137900.1"	"TraesCS6B02G255200.1, TraesCS2B02G217600.1, TraesCS5B02G569200.1"	"TraesCS5D02G098600.1, TraesCS6D02G285700.1"
TraesCS7A02G513200.1	"TraesCS7B02G424400.1, TraesCS7B02G425600.1, TraesCS7B02G430800.1"	"TraesCS7D02G490800.1, TraesCS7D02G398300.2, TraesCS7D02G502700.1"
TraesCS2A02G196700.1	TraesCS2B02G224300.1	TraesCS2D02G204700.1
TraesCS5A02G295400.1	TraesCS5B02G294900.3	TraesCS5D02G303000.1
TraesCS2A02G088400.1	TraesCS2B02G103900.1	"TraesCS2D02G086000.1, TraesCS2D02G086100.1"
TraesCS2A02G088600.1	TraesCS2B02G104000.1	TraesCS2D02G086300.1
TraesCS3A02G424300.1	"TraesCS3B02G460400.1, TraesCS3B02G460700.1"	TraesCS3D02G419500.1
TraesCS5A02G279400.1	TraesCS5B02G278700.1	TraesCS5D02G286400.1
TraesCS7A02G516700.1	"TraesCS7B02G433100.1, TraesCS7B02G433000.1"	TraesCS7D02G506900.1
TraesCS1A02G136300.1	"TraesCS5B02G005800.1, TraesCS3B02G122700.1"	"TraesCS7D02G213800.1, TraesCS7D02G321300.1, TraesCS3D02G301700.1, TraesCS5D02G478300.1, TraesCS2D02G258600.1, TraesCS5D02G488000.1"
TraesCS3A02G080400.1	TraesCS4B02G147000.1	TraesCS6D02G261800.1
TraesCS1A02G032300.1	"TraesCS1B02G041000.1, TraesCS1B02G040100.1, TraesCS1B02G040000.1, TraesCS1B02G040300.1, TraesCS1B02G040200.1"	"TraesCS1D02G033600.1, TraesCS1D02G033800.1"
"TraesCS2A02G332200.1, TraesCS2A02G332600.1"	"TraesCS2B02G350100.1, TraesCS2B02G349300.1, TraesCS2B02G349600.1"	TraesCS2D02G330700.1
TraesCS5A02G455400.1	TraesCS5B02G463700.1	TraesCS5D02G466000.1
TraesCS5A02G455500.1	TraesCS5B02G463600.1	TraesCS5D02G466100.1
"TraesCS1A02G007405.1, TraesCS1A02G007400.1"	"TraesCS1B02G009877.1, TraesCS1B02G011000.1, TraesCS1B02G010900.1, TraesCS1B02G010700.1, TraesCS1B02G010400.1, TraesCS1B02G010500.1"	"TraesCS1D02G001000.1, TraesCS1D02G001100.1, TraesCS1D02G001200.1"
TraesCS6A02G376000.1	TraesCS6B02G413705.1	TraesCS6D02G361100.1
TraesCS6A02G376005.1	TraesCS6B02G413700.1	TraesCS6D02G361000.1
TraesCS7A02G410500.1	"TraesCS7B02G177900.1, TraesCS4B02G304000.1, TraesCS4B02G303800.1"	"TraesCS3D02G263900.1, TraesCS3D02G507400.1, TraesCS5D02G092400.1, TraesCS6D02G082500.1, TraesCS3D02G163200.1"
TraesCS1A02G059000.1	TraesCS1B02G077700.1	"TraesCS1D02G060300.1, TraesCS1D02G060400.1, TraesCS1D02G060100.1"
TraesCS1A02G364000.1	TraesCS1B02G381200.1	TraesCS1D02G369200.1
"TraesCS2A02G433900.1, TraesCS2A02G434200.1"	TraesCS2B02G455300.1	TraesCS2D02G432000.1
TraesCS2A02G434000.1	"TraesCS2B02G455200.1, TraesCS2B02G455100.1"	TraesCS2D02G431900.1
TraesCS3A02G493500.1	TraesCS3B02G555500.2	TraesCS3D02G501100.1
"TraesCS3A02G493900.1, TraesCS3A02G493700.3, TraesCS3A02G493800.1"	"TraesCS3B02G555700.2, TraesCS3B02G555800.1"	"TraesCS3D02G501400.1, TraesCS3D02G501300.3"
TraesCS2A02G322500.1	TraesCS2B02G360300.1	"TraesCS5D02G487900.1, TraesCS2D02G340600.1"
"TraesCS3A02G309000.2, TraesCS3A02G309100.2"	"TraesCS3B02G152200.2, TraesCS3B02G152300.3"	"TraesCS3D02G133200.1, TraesCS3D02G133100.1"
TraesCS5A02G408300.1	TraesCS4B02G059300.1	TraesCS5D02G418100.1
TraesCS1A02G242000.1	TraesCS1B02G253600.1	TraesCS1D02G241900.1
TraesCS2A02G440300.1	TraesCS2B02G461219.1	"TraesCS2D02G438400.1, TraesCS2D02G438500.1"
TraesCS2A02G440600.1	"TraesCS2B02G460341.1, TraesCS2B02G460500.1, TraesCS2B02G460900.1, TraesCS2B02G460800.1, TraesCS2B02G461100.1"	TraesCS2D02G438200.1
TraesCS7A02G474400.1	TraesCS7B02G376000.1	TraesCS7D02G461500.1
TraesCS4A02G235800.1	TraesCS5B02G358400.1	TraesCS5D02G364600.1
TraesCS3A02G297300.1	"TraesCS3B02G339500.1, TraesCS3B02G339700.1, TraesCS3B02G339800.1"	TraesCS3D02G305200.1
TraesCS3A02G514900.1	TraesCS3B02G583300.1	TraesCS3D02G523000.1
"TraesCS4A02G416600.1, TraesCS4A02G416500.1"	TraesCS4B02G317200.1	TraesCS4D02G313800.1
"TraesCS4A02G416300.1, TraesCS4A02G416400.1"	"TraesCS4B02G317000.1, TraesCS4B02G317100.1"	TraesCS4D02G313700.1
TraesCS6A02G331300.2	TraesCS6B02G362000.1	"TraesCS6D02G310500.1, TraesCS6D02G310600.1"
"TraesCS6A02G317500.1, TraesCS6A02G317600.1"	"TraesCS6B02G347800.1, TraesCS6B02G347700.1"	TraesCS6D02G094700.1
TraesCS7A02G111800.1	TraesCS7B02G009500.1	TraesCS7D02G106600.1
"TraesCS3A02G496700.1, TraesCS3A02G496900.1"	TraesCS3B02G559100.1	"TraesCS3D02G503900.1, TraesCS3D02G504000.1"
TraesCS2A02G135000.1	"TraesCS2B02G505300.1, TraesCS2B02G158900.1"	TraesCS2D02G137500.2
TraesCS3A02G195300.1	TraesCS3B02G228500.1	TraesCS3D02G198600.1
TraesCS6A02G248000.1	TraesCS6B02G276700.1	TraesCS6D02G230100.1
TraesCS6A02G247900.2	TraesCS6B02G276800.1	TraesCS6D02G230000.1
