OG0013276	TraesPARA_EIv1.0_0073630.3	TraesCS1A03G0301200.1
OG0013316	TraesPARA_EIv1.0_1970790.1	TraesCS6A03G0862100.1
OG0013317	TraesPARA_EIv1.0_0835460.4	TraesCS3A03G0669800.1
OG0013318	TraesPARA_EIv1.0_0376710.1	TraesCS2A03G0888900.1
OG0013320	TraesPARA_EIv1.0_1932170.1	TraesCS6A03G0454300.1
OG0013321	TraesPARA_EIv1.0_2308400.1	TraesCS7A03G0825700.1
OG0013322	TraesPARA_EIv1.0_1930990.2	TraesCS6A03G0442300.1
OG0013324	TraesPARA_EIv1.0_1616390.2	TraesCS5A03G0108200.1
OG0013325	TraesPARA_EIv1.0_0832650.1	TraesCS3A03G0642500.1
OG0013326	TraesPARA_EIv1.0_1572530.1	TraesCS5A03G0578100.1
OG0013327	TraesPARA_EIv1.0_1539640.1	TraesCS5A03G0911600.1
OG0013328	TraesPARA_EIv1.0_2347910.1	TraesCS7A03G1227600.1
OG0013329	TraesPARA_EIv1.0_1570730.1	TraesCS5A03G0597700.1
OG0013330	TraesPARA_EIv1.0_2308290.1	TraesCS7A03G0824500.1
OG0013331	TraesPARA_EIv1.0_1524710.1	TraesCS5A03G1075100.1
OG0013332	TraesPARA_EIv1.0_0813920.1	TraesCS3A03G0453500.1
OG0013333	TraesPARA_EIv1.0_0081820.1	TraesCS5A03G0119500.1
OG0013334	TraesPARA_EIv1.0_0463640.1	TraesCS2A03G0021100.1
OG0013335	TraesPARA_EIv1.0_2354090.1	TraesCS7A03G1288900.1
OG0013336	TraesPARA_EIv1.0_0802950.2	TraesCS3A03G0335500.1
OG0013337	TraesPARA_EIv1.0_0802950.1	TraesCS3A03G0335500.2
OG0013338	TraesPARA_EIv1.0_1557290.1	TraesCS5A03G0738100.1
OG0013339	TraesPARA_EIv1.0_0391680.1	TraesCS2A03G0730200.1
OG0013340	TraesPARA_EIv1.0_0030080.1	TraesCS1A03G0773800.1
OG0013341	TraesPARA_EIv1.0_0860450.1	TraesCS3A03G0939300.1
OG0013342	TraesPARA_EIv1.0_0860450.2	TraesCS3A03G0939300.2
OG0013344	TraesPARA_EIv1.0_1937670.4	TraesCS6A03G0503300.1
OG0013345	TraesPARA_EIv1.0_1937670.1	TraesCS6A03G0503300.2
OG0013346	TraesPARA_EIv1.0_0430720.1	TraesCS2A03G0324100.1
OG0013347	TraesPARA_EIv1.0_1962920.1	TraesCS6A03G0777500.1
OG0013348	TraesPARA_EIv1.0_2340770.1	TraesCS7A03G1165100.1
OG0013350	TraesPARA_EIv1.0_1238340.1	TraesCS4A03G0728000.1
OG0013352	TraesPARA_EIv1.0_0051260.1	TraesCS1A03G0542800.1
OG0013353	TraesPARA_EIv1.0_1218120.1	TraesCS4A03G1021600.1
OG0013354	TraesPARA_EIv1.0_1970200.1	TraesCS6A03G0856200.1
OG0013355	TraesPARA_EIv1.0_0843820.1	TraesCS3A03G0756300.1
OG0013356	TraesPARA_EIv1.0_0844080.1	TraesCS3A03G0758400.1
OG0013357	TraesPARA_EIv1.0_0795140.2	TraesCS3A03G0257700.1
OG0013358	TraesPARA_EIv1.0_0795140.1	TraesCS3A03G0257700.2
OG0013359	TraesPARA_EIv1.0_0837600.1	TraesCS3A03G0692600.1
OG0013360	TraesPARA_EIv1.0_1576880.1	TraesCS5A03G0530500.1
OG0013361	TraesPARA_EIv1.0_0807640.1	TraesCS3A03G0390000.1
OG0013362	TraesPARA_EIv1.0_0778570.1	TraesCS3A03G0091100.1
OG0013363	TraesPARA_EIv1.0_1900460.1	TraesCS6A03G0119100.1
OG0013364	TraesPARA_EIv1.0_2278660.1	TraesCS7A03G0530900.1
OG0013365	TraesPARA_EIv1.0_1299490.1	TraesCS4A03G0067700.1
OG0013366	TraesPARA_EIv1.0_0066610.1	TraesCS1A03G0371800.1
OG0013367	TraesPARA_EIv1.0_0445480.1	TraesCS2A03G0175600.1
OG0013368	TraesPARA_EIv1.0_0465970.1	TraesCS2A03G0001800.1
OG0013369	TraesPARA_EIv1.0_1942820.1	TraesCS6A03G0564200.1
OG0013370	TraesPARA_EIv1.0_0454070.1	TraesCS2A03G0097400.1
OG0013371	TraesPARA_EIv1.0_0079570.1	TraesCS1A03G0233500.1
OG0013372	TraesPARA_EIv1.0_0835050.1	TraesCS3A03G0666400.1
OG0013373	TraesPARA_EIv1.0_2322980.1	TraesCS7A03G0980900.1
OG0013374	TraesPARA_EIv1.0_0032950.1	TraesCS1A03G0738200.1
OG0013375	TraesPARA_EIv1.0_2271000.1	TraesCS7A03G0473300.1
OG0013376	TraesPARA_EIv1.0_2311170.1	TraesCS7A03G0852600.1
OG0013377	TraesPARA_EIv1.0_1520220.1	TraesCS5A03G1125300.1
OG0013378	TraesPARA_EIv1.0_0365060.1	TraesCS2A03G1008700.1
OG0013380	TraesPARA_EIv1.0_1610800.1	TraesCS5A03G0166100.1
OG0013381	TraesPARA_EIv1.0_1292900.1	TraesCS4A03G0155300.1
OG0013382	TraesPARA_EIv1.0_1957520.1	TraesCS6A03G0717500.1
OG0013383	TraesPARA_EIv1.0_2277940.1	TraesCS7A03G0523800.1
OG0013384	TraesPARA_EIv1.0_0860620.1	TraesCS3A03G0941300.1
OG0013385	TraesPARA_EIv1.0_2335400.2	TraesCS7A03G1111100.1
OG0013386	TraesPARA_EIv1.0_2335400.1	TraesCS7A03G1111100.2
OG0013387	TraesPARA_EIv1.0_2351070.1	TraesCS7A03G1254700.1
OG0013388	TraesPARA_EIv1.0_0442160.1	TraesCS2A03G0208200.1
OG0013389	TraesPARA_EIv1.0_2267750.1	TraesCS7A03G0424200.2
OG0013390	TraesPARA_EIv1.0_2267750.2	TraesCS7A03G0424200.1
OG0013391	TraesPARA_EIv1.0_0843030.1	TraesCS3A03G0749500.1
OG0013392	TraesPARA_EIv1.0_1912940.1	TraesCS6A03G0251200.1
OG0013393	TraesPARA_EIv1.0_1982650.1	TraesCS6A03G0970400.1
OG0013395	TraesPARA_EIv1.0_0792530.1	TraesCS3A03G0233700.1
OG0013397	TraesPARA_EIv1.0_0077260.1	TraesCS1A03G0261500.1
OG0013398	TraesPARA_EIv1.0_2266630.1	TraesCS7A03G0413400.1
OG0013399	TraesPARA_EIv1.0_1298780.1	TraesCS4A03G0075300.1
OG0013400	TraesPARA_EIv1.0_1225810.1	TraesCS4A03G0839100.1
OG0013401	TraesPARA_EIv1.0_1281800.3	TraesCS4A03G0266600.3
OG0013402	TraesPARA_EIv1.0_0787090.1	TraesCS3A03G0181900.1
OG0013403	TraesPARA_EIv1.0_1615390.1	TraesCS5A03G0119300.1
OG0013404	TraesPARA_EIv1.0_1525170.1	TraesCS5A03G1069900.1
OG0013406	TraesPARA_EIv1.0_0055600.1	TraesCS1A03G0492000.1
OG0013407	TraesPARA_EIv1.0_0075720.1	TraesCS1A03G0279100.1
OG0013408	TraesPARA_EIv1.0_2272820.1	TraesCS7A03G0454100.1
OG0013410	TraesPARA_EIv1.0_1531210.1	TraesCS5A03G1006300.1
OG0013411	TraesPARA_EIv1.0_0019300.1	TraesCS1A03G0881400.1
OG0013412	TraesPARA_EIv1.0_0011680.1	TraesCS1A03G0944600.1
OG0013413	TraesPARA_EIv1.0_0404050.1	TraesCS2A03G0603200.1
OG0013414	TraesPARA_EIv1.0_0841170.1	TraesCS3A03G0728200.1
OG0013415	TraesPARA_EIv1.0_1260330.1	TraesCS4A03G0490400.1
OG0013416	TraesPARA_EIv1.0_2364880.1	TraesCS6A03G0803500.1
OG0013417	TraesPARA_EIv1.0_0091310.1	TraesCS1A03G0115600.1
OG0013418	TraesPARA_EIv1.0_1572320.1	TraesCS5A03G0581700.1
OG0013419	TraesPARA_EIv1.0_0884980.2	TraesCS3A03G1183300.1
OG0013420	TraesPARA_EIv1.0_0420860.1	TraesCS2A03G0427800.1
OG0013421	TraesPARA_EIv1.0_0383630.1	TraesCS2A03G0816800.1
OG0013422	TraesPARA_EIv1.0_1230490.1	TraesCS4A03G0798100.1
OG0013423	TraesPARA_EIv1.0_1972670.1	TraesCS6A03G0880000.1
OG0013424	TraesPARA_EIv1.0_1561800.1	TraesCS5A03G0692200.1
OG0013425	TraesPARA_EIv1.0_1907350.1	TraesCS6A03G0189900.1
OG0013426	TraesPARA_EIv1.0_0082060.1	TraesCS1A03G0210000.1
OG0013427	TraesPARA_EIv1.0_1894090.1	TraesCS6A03G0056800.1
OG0013428	TraesPARA_EIv1.0_0788390.1	TraesCS3A03G0194100.1
OG0013429	TraesPARA_EIv1.0_1965970.1	TraesCS6A03G0813300.1
OG0013430	TraesPARA_EIv1.0_0018110.1	TraesCS1A03G0894100.1
OG0013431	TraesPARA_EIv1.0_1605030.1	TraesCS5A03G0226300.1
OG0013433	TraesPARA_EIv1.0_1204180.1	TraesCS4A03G1039700.1
OG0013434	TraesPARA_EIv1.0_0884090.1	TraesCS3A03G1173500.1
OG0013435	TraesPARA_EIv1.0_1542060.1	TraesCS5A03G0887500.1
OG0013436	TraesPARA_EIv1.0_1255720.1	TraesCS4A03G0540500.1
OG0013437	TraesPARA_EIv1.0_0045710.1	TraesCS1A03G0602500.1
OG0013438	TraesPARA_EIv1.0_0860960.1	TraesCS3A03G0944800.1
OG0013439	TraesPARA_EIv1.0_1985600.1	TraesCS6A03G1002700.1
OG0013440	TraesPARA_EIv1.0_1259060.1	TraesCS4A03G0503700.1
OG0013441	TraesPARA_EIv1.0_1298060.1	TraesCS4A03G0081700.1
OG0013442	TraesPARA_EIv1.0_2320450.1	TraesCS7A03G0953300.1
OG0013443	TraesPARA_EIv1.0_0836650.1	TraesCS2A03G0194100.1
OG0013444	TraesPARA_EIv1.0_0071140.1	TraesCS1A03G0326700.1
OG0013445	TraesPARA_EIv1.0_1290760.1	TraesCS4A03G0168400.1
OG0013446	TraesPARA_EIv1.0_2312460.1	TraesCS7A03G0867300.1
OG0013447	TraesPARA_EIv1.0_2248560.1	TraesCS7A03G0223200.1
OG0013448	TraesPARA_EIv1.0_0389500.1	TraesCS2A03G0755700.1
OG0013449	TraesPARA_EIv1.0_1913800.1	TraesCS6A03G0260200.1
OG0013450	TraesPARA_EIv1.0_0003990.1	TraesCS1A03G1041800.1
OG0013451	TraesPARA_EIv1.0_1602300.1	TraesCS5A03G0254500.1
OG0013453	TraesPARA_EIv1.0_0442820.1	TraesCS2A03G0201500.1
OG0013454	TraesPARA_EIv1.0_1535220.1	TraesCS5A03G0960600.1
OG0013455	TraesPARA_EIv1.0_0791210.1	TraesCS3A03G0220900.1
OG0013456	TraesPARA_EIv1.0_1248500.1	TraesCS4A03G0617200.1
OG0013457	TraesPARA_EIv1.0_0840130.1	TraesCS3A03G0719300.1
OG0013458	TraesPARA_EIv1.0_1193140.1	TraesCS7A03G0072800.1
OG0013459	TraesPARA_EIv1.0_1586380.1	TraesCS5A03G0429900.1
OG0013460	TraesPARA_EIv1.0_1535350.1	TraesCS5A03G0959000.1
OG0013461	TraesPARA_EIv1.0_1240100.1	TraesCS4A03G0710500.2
OG0013462	TraesPARA_EIv1.0_0375150.1	TraesCS2A03G0904200.1
OG0013463	TraesPARA_EIv1.0_1954250.1	TraesCS6A03G0682900.1
OG0013464	TraesPARA_EIv1.0_0378160.1	TraesCS2A03G0875200.1
OG0013465	TraesPARA_EIv1.0_1911900.1	TraesCS6A03G0240000.1
OG0013466	TraesPARA_EIv1.0_2277410.1	TraesCS7A03G0518000.1
OG0013467	TraesPARA_EIv1.0_0347980.1	TraesCS2A03G1188000.1
OG0013468	TraesPARA_EIv1.0_0867130.1	TraesCS3A03G1009700.1
OG0013469	TraesPARA_EIv1.0_1260860.1	TraesCS4A03G0483800.1
OG0013470	TraesPARA_EIv1.0_2240340.1	TraesCS4A03G1059000.1
OG0013471	TraesPARA_EIv1.0_1983680.1	TraesCS6A03G0980600.1
OG0013473	TraesPARA_EIv1.0_1517300.1	TraesCS5A03G1152000.1
OG0013474	TraesPARA_EIv1.0_0862890.1	TraesCS3A03G0965000.1
OG0013475	TraesPARA_EIv1.0_1528090.1	TraesCS5A03G1041800.1
OG0013476	TraesPARA_EIv1.0_0871210.1	TraesCS3A03G1052100.1
OG0013477	TraesPARA_EIv1.0_1291580.1	TraesCS4A03G0136800.1
OG0013478	TraesPARA_EIv1.0_1285570.1	TraesCS4A03G0225600.1
OG0013479	TraesPARA_EIv1.0_0369830.2	TraesCS2A03G0956100.1
OG0013480	TraesPARA_EIv1.0_1541560.1	TraesCS5A03G0892700.1
OG0013481	TraesPARA_EIv1.0_0457620.1	TraesCS2A03G0068300.1
OG0013482	TraesPARA_EIv1.0_1945710.1	TraesCS6A03G0595700.1
OG0013483	TraesPARA_EIv1.0_2274440.1	TraesCS7A03G0491200.1
OG0013484	TraesPARA_EIv1.0_0385430.1	TraesCS2A03G0798500.1
OG0013485	TraesPARA_EIv1.0_2300980.1	TraesCS7A03G0754700.1
OG0013486	TraesPARA_EIv1.0_1920180.1	TraesCS6A03G0326100.1
OG0013487	TraesPARA_EIv1.0_0879130.1	TraesCS3A03G1141000.1
OG0013489	TraesPARA_EIv1.0_1950680.1	TraesCS6A03G0646500.1
OG0013490	TraesPARA_EIv1.0_0340700.2	TraesCS2A03G1256000.1
OG0013491	TraesPARA_EIv1.0_0353360.1	TraesCS2A03G1128600.1
OG0013492	TraesPARA_EIv1.0_1539070.1	TraesCS5A03G0918100.1
OG0013493	TraesPARA_EIv1.0_1554000.1	TraesCS5A03G0770100.1
OG0013494	TraesPARA_EIv1.0_1280080.1	TraesCS4A03G0287900.1
OG0013495	TraesPARA_EIv1.0_2327950.1	TraesCS7A03G1037700.1
OG0013496	TraesPARA_EIv1.0_0074200.1	TraesCS1A03G0294900.1
OG0013497	TraesPARA_EIv1.0_1534360.1	TraesCS5A03G0969600.1
OG0013498	TraesPARA_EIv1.0_1253400.1	TraesCS4A03G0758600.1
OG0013499	TraesPARA_EIv1.0_2305740.3	TraesCS7A03G0800300.3
OG0013500	TraesPARA_EIv1.0_1236600.1	TraesCS4A03G0745000.1
OG0013501	TraesPARA_EIv1.0_1947030.1	TraesCS6A03G0611100.1
OG0013502	TraesPARA_EIv1.0_0038990.1	TraesCS1A03G0673300.1
OG0013503	TraesPARA_EIv1.0_0006060.1	TraesCS1A03G1023000.1
OG0013504	TraesPARA_EIv1.0_2232800.1	TraesCS7A03G0068000.1
OG0013505	TraesPARA_EIv1.0_0799490.1	TraesCS3A03G0304000.1
OG0013506	TraesPARA_EIv1.0_0438270.1	TraesCS2A03G0248900.1
OG0013507	TraesPARA_EIv1.0_1890480.1	TraesCS6A03G0015800.1
OG0013508	TraesPARA_EIv1.0_1513640.1	TraesCS5A03G1195000.1
OG0013510	TraesPARA_EIv1.0_2293970.5	TraesCS7A03G0678600.2
OG0013511	TraesPARA_EIv1.0_1914420.1	TraesCS6A03G0267500.1
OG0013513	TraesPARA_EIv1.0_2264180.1	TraesCS7A03G0381800.1
OG0013514	TraesPARA_EIv1.0_1528050.1	TraesCS5A03G1042100.1
OG0013515	TraesPARA_EIv1.0_0037970.1	TraesCS1A03G0684700.1
OG0013516	TraesPARA_EIv1.0_0007980.1	TraesCS1A03G0901600.1
OG0013517	TraesPARA_EIv1.0_1976750.1	TraesCS6A03G0918700.2
OG0013518	TraesPARA_EIv1.0_1977480.1	TraesCS6A03G0924800.1
OG0013519	TraesPARA_EIv1.0_0057400.1	TraesCS1A03G0471700.1
OG0013520	TraesPARA_EIv1.0_1300310.1	TraesCS4A03G0060100.1
OG0013521	TraesPARA_EIv1.0_1889700.1	TraesCS6A03G0007900.1
OG0013523	TraesPARA_EIv1.0_1960970.1	TraesCS6A03G0758400.1
OG0013524	TraesPARA_EIv1.0_1965400.1	TraesCS6A03G0805600.1
OG0013525	TraesPARA_EIv1.0_0033410.1	TraesCS1A03G0734700.1
OG0013526	TraesPARA_EIv1.0_1931290.6	TraesCS6A03G0444900.3
OG0013527	TraesPARA_EIv1.0_0098220.2	TraesCS1A03G0043400.2
OG0013528	TraesPARA_EIv1.0_0098220.1	TraesCS1A03G0043400.1
OG0013529	TraesPARA_EIv1.0_0021690.1	TraesCS1A03G0856000.1
OG0013530	TraesPARA_EIv1.0_0463360.1	TraesCS2A03G0023500.1
OG0013531	TraesPARA_EIv1.0_0398240.1	TraesCS2A03G0660800.1
OG0013533	TraesPARA_EIv1.0_1245910.1	TraesCS4A03G0646700.1
OG0013534	TraesPARA_EIv1.0_1579210.1	TraesCS5A03G0505400.1
OG0013535	TraesPARA_EIv1.0_1982240.1	TraesCS6A03G0966900.1
OG0013536	TraesPARA_EIv1.0_1593340.1	TraesCS5A03G0351300.1
OG0013537	TraesPARA_EIv1.0_1250780.1	TraesCS4A03G0593400.1
OG0013538	TraesPARA_EIv1.0_1284310.1	TraesCS4A03G0236300.1
OG0013539	TraesPARA_EIv1.0_0059610.1	TraesCS1A03G0447000.1
OG0013540	TraesPARA_EIv1.0_0045950.1	TraesCS1A03G0599900.1
OG0013541	TraesPARA_EIv1.0_0777800.1	TraesCS3A03G0083500.1
OG0013542	TraesPARA_EIv1.0_0805880.2	TraesCS3A03G0369400.1
OG0013543	TraesPARA_EIv1.0_0805880.1	TraesCS3A03G0369400.2
OG0013544	TraesPARA_EIv1.0_1294710.1	TraesCS4A03G0161400.1
OG0013545	TraesPARA_EIv1.0_0850930.1	TraesCS3A03G0835900.1
OG0013546	TraesPARA_EIv1.0_0828230.1	TraesCS3A03G0593800.1
OG0013547	TraesPARA_EIv1.0_0429370.1	TraesCS2A03G0339500.1
OG0013548	TraesPARA_EIv1.0_0382660.1	TraesCS2A03G0825800.1
OG0013549	TraesPARA_EIv1.0_1588570.1	TraesCS5A03G0405200.1
OG0013550	TraesPARA_EIv1.0_1962960.1	TraesCS6A03G0777800.1
OG0013551	TraesPARA_EIv1.0_1236320.1	TraesCS4A03G0748400.1
OG0013552	TraesPARA_EIv1.0_0824990.1	TraesCS3A03G0562000.1
OG0013553	TraesPARA_EIv1.0_2284250.1	TraesCS7A03G0589800.1
OG0013554	TraesPARA_EIv1.0_0391720.1	TraesCS2A03G0729700.1
OG0013555	TraesPARA_EIv1.0_0067030.1	TraesCS2A03G1334200.1
OG0013556	TraesPARA_EIv1.0_0873250.1	TraesCS3A03G1075900.2
OG0013557	TraesPARA_EIv1.0_0873250.2	TraesCS3A03G1075900.1
OG0013558	TraesPARA_EIv1.0_0863560.1	TraesCS3A03G0970300.1
OG0013559	TraesPARA_EIv1.0_0386790.1	TraesCS2A03G0784700.1
OG0013561	TraesPARA_EIv1.0_0353520.1	TraesCS2A03G1127100.1
OG0013562	TraesPARA_EIv1.0_1949810.1	TraesCS6A03G0638400.1
OG0013563	TraesPARA_EIv1.0_2271010.1	TraesCS7A03G0473200.1
OG0013564	TraesPARA_EIv1.0_1564870.1	TraesCS5A03G0659000.1
OG0013565	TraesPARA_EIv1.0_0024740.1	TraesCS1A03G0825800.1
OG0013566	TraesPARA_EIv1.0_1975410.1	TraesCS6A03G0905500.1
OG0013567	TraesPARA_EIv1.0_1245470.1	TraesCS4A03G0651300.1
OG0013568	TraesPARA_EIv1.0_0354040.1	TraesCS2A03G1122000.1
OG0013569	TraesPARA_EIv1.0_0406130.1	TraesCS2A03G0582500.1
OG0013570	TraesPARA_EIv1.0_1956290.1	TraesCS6A03G0702700.1
OG0013571	TraesPARA_EIv1.0_1302540.1	TraesCS4A03G0035800.1
OG0013573	TraesPARA_EIv1.0_1966950.1	TraesCS6A03G0823100.1
OG0013574	TraesPARA_EIv1.0_1518030.1	TraesCS5A03G1143300.1
OG0013575	TraesPARA_EIv1.0_0855430.1	TraesCS3A03G0884900.1
OG0013576	TraesPARA_EIv1.0_1979040.1	TraesCS6A03G0937300.1
OG0013577	TraesPARA_EIv1.0_0351060.1	TraesCS2A03G1155100.1
OG0013578	TraesPARA_EIv1.0_2358670.1	TraesCS7A03G1332800.1
OG0013579	TraesPARA_EIv1.0_1523030.1	TraesCS5A03G1092000.1
OG0013580	TraesPARA_EIv1.0_0361410.1	TraesCS5A03G0721400.1
OG0013581	TraesPARA_EIv1.0_0072300.1	TraesCS1A03G0316000.1
OG0013582	TraesPARA_EIv1.0_1232580.2	TraesCS4A03G0779700.1
OG0013583	TraesPARA_EIv1.0_0771300.1	TraesCS3A03G0017600.1
OG0013584	TraesPARA_EIv1.0_1955200.1	TraesCS6A03G0691700.1
OG0013585	TraesPARA_EIv1.0_2355750.1	TraesCS7A03G1307900.1
OG0013586	TraesPARA_EIv1.0_0792850.1	TraesCS3A03G0236400.1
OG0013587	TraesPARA_EIv1.0_0796600.1	TraesCS3A03G0271300.1
OG0013588	TraesPARA_EIv1.0_1569540.1	TraesCS5A03G0609500.1
OG0013589	TraesPARA_EIv1.0_0882220.1	TraesCS3A03G1155000.1
OG0013590	TraesPARA_EIv1.0_2319710.1	TraesCS7A03G0943400.1
OG0013591	TraesPARA_EIv1.0_0795810.1	TraesCS3A03G0262900.1
OG0013592	TraesPARA_EIv1.0_2250700.1	TraesCS7A03G0247800.1
OG0013594	TraesPARA_EIv1.0_0832390.1	TraesCS3A03G0639900.1
OG0013595	TraesPARA_EIv1.0_0835910.1	TraesCS3A03G0674900.1
OG0013596	TraesPARA_EIv1.0_0837360.1	TraesCS3A03G0691000.1
OG0013597	TraesPARA_EIv1.0_0441580.1	TraesCS2A03G0213100.1
OG0013598	TraesPARA_EIv1.0_1571020.1	TraesCS5A03G0594900.1
OG0013599	TraesPARA_EIv1.0_2259190.1	TraesCS7A03G0331700.1
OG0013600	TraesPARA_EIv1.0_0798940.1	TraesCS3A03G0296700.1
OG0013601	TraesPARA_EIv1.0_0041460.1	TraesCS1A03G0648600.1
OG0013602	TraesPARA_EIv1.0_1580210.1	TraesCS5A03G0494600.1
OG0013603	TraesPARA_EIv1.0_1549640.1	TraesCS5A03G0813000.1
OG0013604	TraesPARA_EIv1.0_0043200.1	TraesCS1A03G0626900.2
OG0013605	TraesPARA_EIv1.0_0043200.2	TraesCS1A03G0626900.1
OG0013607	TraesPARA_EIv1.0_1606530.1	TraesCS5A03G0209700.1
OG0013608	TraesPARA_EIv1.0_1515860.1	TraesCS5A03G1167300.1
OG0013609	TraesPARA_EIv1.0_0331940.1	TraesCS2A03G1348500.1
OG0013611	TraesPARA_EIv1.0_0406560.1	TraesCS2A03G0578800.1
OG0013612	TraesPARA_EIv1.0_2354980.1	TraesCS7A03G1298900.1
OG0013613	TraesPARA_EIv1.0_1922160.1	TraesCS6A03G0346600.1
OG0013614	TraesPARA_EIv1.0_0398330.1	TraesCS2A03G0660100.1
OG0013615	TraesPARA_EIv1.0_1287800.1	TraesCS4A03G0202300.1
OG0013616	TraesPARA_EIv1.0_0420550.1	TraesCS2A03G0431300.1
OG0013617	TraesPARA_EIv1.0_0830240.1	TraesCS3A03G0616200.1
OG0013618	TraesPARA_EIv1.0_2316190.1	TraesCS7A03G0905300.1
OG0013619	TraesPARA_EIv1.0_1945230.1	TraesCS6A03G0591200.1
OG0013621	TraesPARA_EIv1.0_1249290.1	TraesCS4A03G0609200.1
OG0013622	TraesPARA_EIv1.0_0871590.1	TraesCS3A03G1056200.1
OG0013623	TraesPARA_EIv1.0_0860860.1	TraesCS3A03G0943600.1
OG0013625	TraesPARA_EIv1.0_0080730.1	TraesCS1A03G0222200.1
OG0013626	TraesPARA_EIv1.0_0051630.1	TraesCS1A03G0539800.1
OG0013627	TraesPARA_EIv1.0_1956930.1	TraesCS6A03G0710500.1
OG0013628	TraesPARA_EIv1.0_0039300.1	TraesCS1A03G0670500.1
OG0013629	TraesPARA_EIv1.0_1293580.2	TraesCS4A03G0121500.1
OG0013630	TraesPARA_EIv1.0_1293580.1	TraesCS4A03G0121500.2
OG0013631	TraesPARA_EIv1.0_1914030.1	TraesCS6A03G0263000.1
OG0013632	TraesPARA_EIv1.0_0428830.1	TraesCS2A03G0344600.1
OG0013633	TraesPARA_EIv1.0_1220380.1	TraesCS4A03G0892600.1
OG0013634	TraesPARA_EIv1.0_2256720.1	TraesCS1A03G0848000.1
OG0013636	TraesPARA_EIv1.0_1537990.1	TraesCS5A03G0931100.1
OG0013637	TraesPARA_EIv1.0_1922220.1	TraesCS6A03G0347300.1
OG0013638	TraesPARA_EIv1.0_2237600.1	TraesCS7A03G0116600.1
OG0013639	TraesPARA_EIv1.0_1561860.1	TraesCS5A03G0691300.1
OG0013641	TraesPARA_EIv1.0_2249170.1	TraesCS7A03G0227400.1
OG0013642	TraesPARA_EIv1.0_1623150.1	TraesCS5A03G0035600.1
OG0013643	TraesPARA_EIv1.0_0866220.1	TraesCS3A03G0999000.1
OG0013644	TraesPARA_EIv1.0_1185160.1	TraesCS4A03G1225000.1
OG0013645	TraesPARA_EIv1.0_1295500.1	TraesCS4A03G0109800.1
OG0013646	TraesPARA_EIv1.0_1920810.1	TraesCS6A03G0332800.1
OG0013648	TraesPARA_EIv1.0_0055570.1	TraesCS1A03G0492600.1
